brand,model_name,level_name,class_name,launch_price_krw,displacement_cc,body_length_mm,body_width_mm,body_height_mm
chevrolet,뉴 볼트 EV,(전기),프리미어,41300000,0,4140,1765,1595
chevrolet,더 넥스트 스파크,1.0,LS,10360000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LS 베이직,9990000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LS 베이직,9990000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LT,11340000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LT 플러스,10360000,995,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LT 플러스,10360000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LT 플러스,10360000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LTZ,11360000,995,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LTZ,11340000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,LTZ,11340000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 패션,11360000,995,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 패션,12060000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 패션,12010000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 퍼펙트 블랙,15090000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 퍼펙트 블랙,15090000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LS,14320000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LS,14270000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LS 베이직,12710000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LS 베이직,14300000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LS 베이직,14300000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LT 플러스,12270000,995,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LT 플러스,12270000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LT 플러스,12390000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LTZ,14990000,995,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LTZ,15620000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0,에코 LTZ,15590000,999,3595,1595,1475
chevrolet,더 넥스트 스파크,1.0 승용밴,-,0,0,0,0,0
chevrolet,더 넥스트 스파크,1.0 승용밴,베이직,0,0,0,0,0
chevrolet,더 넥스트 이쿼녹스,1.5 터보 2WD,LS,0,0,0,0,0
chevrolet,더 넥스트 이쿼녹스,1.5 터보 2WD,LT,0,0,0,0,0
chevrolet,더 넥스트 이쿼녹스,1.5 터보 2WD,RS,0,0,0,0,0
chevrolet,더 넥스트 이쿼녹스,1.5 터보 2WD,프리미어,0,0,0,0,0
chevrolet,더 넥스트 이쿼녹스,1.5 터보 AWD,LT,0,0,0,0,0
chevrolet,더 넥스트 이쿼녹스,1.5 터보 AWD,RS,0,0,0,0,0
chevrolet,더 넥스트 이쿼녹스,1.5 터보 AWD,프리미어,0,0,0,0,0
chevrolet,더 뉴 말리부,1.3 터보,LS,23450000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,LS 디럭스,24610000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,LT,25660000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,LT 디럭스,27410000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,레드라인 프리미어,29900000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,레드라인 프리미어 프라임 세이프티,31360000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,프리미어,28450000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,프리미어 퍼펙트 블랙 프라임 세이프티,32100000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,프리미어 퍼펙트 블랙 프리미어,29300000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.3 터보,프리미어 프라임 세이프티,31250000,1341,4935,1855,1465
chevrolet,더 뉴 말리부,1.6 디젤,LT,29360000,1598,4935,1855,1465
chevrolet,더 뉴 말리부,1.6 디젤,LT 프리미엄,31950000,1598,4935,1855,1465
chevrolet,더 뉴 말리부,1.8 HEV,LT,36520000,1796,4935,1855,1465
chevrolet,더 뉴 말리부,1.8 HEV,LT 디럭스,38170000,1796,4935,1855,1465
chevrolet,더 뉴 말리부,2.0 터보,LT 스페셜,30220000,1998,4935,1855,1465
chevrolet,더 뉴 말리부,2.0 터보,레드라인,33380000,1998,4935,1855,1465
