brand,archive_source_id,archive_model_name,archive_model_code,archive_model_url,archive_price_row_count,primary_source_kind,primary_has_launch_price,primary_has_trim_selector,primary_has_displacement,official_source_id,official_model_name,official_model_url,official_price_url,official_catalog_url,official_effective_text,supplement_match_status,supplement_match_reason,supplement_match_score
hyundai,archive_bobaedream_hyundai_index,갤로퍼,412,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=412&level_no=&level2_no=&year_no=,26,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,갤로퍼2,411,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=411&level_no=&level2_no=&year_no=,34,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,엑시언트 프로,2415,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2415&level_no=&level2_no=&year_no=,42,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,디 올 뉴 그랜저,2757,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2757&level_no=&level2_no=&year_no=,24,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,그랜저,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/grandeur-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/grandeur-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,그라나다,567,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=567&level_no=&level2_no=&year_no=,1,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,디 올 뉴 그랜저 하이브리드,2758,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2758&level_no=&level2_no=&year_no=,6,market_archive_index,Y,Y,Y,official_hyundai_catalog_index,그랜저 Hybrid,https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download,https://www.hyundai.com/contents/repn-car/catalog/grandeur-hybrid-2026-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/grandeur-hybrid-catalog.pdf,2026년 3월 기준 ('26.03.13 업데이트),matched,exact_or_alias,100
hyundai,archive_bobaedream_hyundai_index,더 뉴 그랜저,2107,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2107&level_no=&level2_no=&year_no=,30,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 뉴 그랜저 하이브리드,2108,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=2108&level_no=&level2_no=&year_no=,8,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜저IG,1779,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1779&level_no=&level2_no=&year_no=,54,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜저IG 하이브리드,1823,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1823&level_no=&level2_no=&year_no=,9,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜저HG,1332,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1332&level_no=&level2_no=&year_no=,44,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜저HG 하이브리드,1593,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1593&level_no=&level2_no=&year_no=,3,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,더 럭셔리 그랜저,1193,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1193&level_no=&level2_no=&year_no=,28,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜저 뉴 럭셔리,1444,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=1444&level_no=&level2_no=&year_no=,39,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,그랜저TG,740,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=740&level_no=&level2_no=&year_no=,52,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
hyundai,archive_bobaedream_hyundai_index,뉴그랜저XG,392,https://m.bobaedream.co.kr/calculator/carinfo?maker_no=49&model_no=392&level_no=&level2_no=&year_no=,38,market_archive_index,Y,Y,Y,,,,,,,unmatched,,0
