brand,model_name,class_name_examples,level_name_examples,context_summary
chevrolet,크루즈,"['LT 플러스 래더팩', 'LTZ 플러스', 'LTZ 플러스 더 퍼펙트 블랙', 'LTZ 플러스 스타일팩', 'LT', 'LT 플러스', 'LTZ', 'LTZ 더 퍼펙트 블랙', 'LS', 'LS 플러스']","['1.4 터보', '1.4 터보 5도어', '1.6', '1.8', '1.8 5도어', '2.0 디젤', '2.0 디젤 5도어']","class_name_examples=LT 플러스 래더팩, LTZ 플러스, LTZ 플러스 더 퍼펙트 블랙, LTZ 플러스 스타일팩, LT, LT 플러스, LTZ, LTZ 더 퍼펙트 블랙, LS, LS 플러스 | level_name_examples=1.4 터보, 1.4 터보 5도어, 1.6, 1.8, 1.8 5도어, 2.0 디젤, 2.0 디젤 5도어 | launch_price_range_krw=15780000~23370000 | displacement_range_cc=1362~1998 | body_length_range_mm=4510~4605"
chevrolet,타호,"['다크 나이트', '하이 컨트리']",['6.2 4WD'],"class_name_examples=다크 나이트, 하이 컨트리 | level_name_examples=6.2 4WD | launch_price_range_krw=92530000~93630000 | displacement_range_cc=6162~6162 | body_length_range_mm=5352~5352"
chevrolet,트래버스,"['LT 레더', 'LT 레더 프리미엄', 'RS', '레드라인', '프리미어']",['3.6 V6'],"class_name_examples=LT 레더, LT 레더 프리미엄, RS, 레드라인, 프리미어 | level_name_examples=3.6 V6 | launch_price_range_krw=45200000~55220000 | displacement_range_cc=3064~3064 | body_length_range_mm=5200~5200"
chevrolet,트랙스,"['LS', 'LS 디럭스 패키지', 'LT', 'LT 디럭스', 'LT 레더 패키지', 'LTZ', '퍼팩트 블랙', '프리미엄 에디션', '퍼펙트 블랙']","['1.4 가솔린', '1.6 디젤']","class_name_examples=LS, LS 디럭스 패키지, LT, LT 디럭스, LT 레더 패키지, LTZ, 퍼팩트 블랙, 프리미엄 에디션, 퍼펙트 블랙 | level_name_examples=1.4 가솔린, 1.6 디젤 | launch_price_range_krw=19400000~25220000 | displacement_range_cc=1362~1598 | body_length_range_mm=4245~4245"
chevrolet,트랙스 크로스오버,"['LS', 'LT', 'RS', 'RS 미드나잇 에디션', '레드라인', '액티브']",['1.2 가솔린 터보'],"class_name_examples=LS, LT, RS, RS 미드나잇 에디션, 레드라인, 액티브 | level_name_examples=1.2 가솔린 터보 | launch_price_range_krw=20520000~29300000 | displacement_range_cc=1199~1199 | body_length_range_mm=4540~4540"
chevrolet,트레일블레이저,"['LS', 'LT', 'RS', '액티브', '프리미어']","['1.2 터보 2WD', '1.3 터보 2WD', '1.3 터보 AWD']","class_name_examples=LS, LT, RS, 액티브, 프리미어 | level_name_examples=1.2 터보 2WD, 1.3 터보 2WD, 1.3 터보 AWD | launch_price_range_krw=19590000~27300000 | displacement_range_cc=1198~1341 | body_length_range_mm=4410~4425"
hyundai,LF쏘나타,"['스마트', '스마트 스페셜', '스타일', '썸머 스페셜', '와일드 버건디', '윈터 스페셜', '케어 플러스', '스타일 스페셜', '프리미엄', '프리미엄 스페셜']","['1.6 터보', '1.7 디젤', '2.0', '2.0 LPi', '2.0 LPi (장애인용)', '2.0 LPi (택시형)', '2.0 터보', '2.4']","class_name_examples=스마트, 스마트 스페셜, 스타일, 썸머 스페셜, 와일드 버건디, 윈터 스페셜, 케어 플러스, 스타일 스페셜, 프리미엄, 프리미엄 스페셜 | level_name_examples=1.6 터보, 1.7 디젤, 2.0, 2.0 LPi, 2.0 LPi (장애인용), 2.0 LPi (택시형), 2.0 터보, 2.4 | launch_price_range_krw=0~32100000 | displacement_range_cc=1591~2359 | body_length_range_mm=4855~4855"
hyundai,LF쏘나타 하이브리드,"['모던', '모던 스페셜', '스마트', '프리미엄', '프리미엄 스페셜', '익스클루시브']","['2.0 HEV', '2.0 PHEV']","class_name_examples=모던, 모던 스페셜, 스마트, 프리미엄, 프리미엄 스페셜, 익스클루시브 | level_name_examples=2.0 HEV, 2.0 PHEV | launch_price_range_krw=30130000~43930000 | displacement_range_cc=1999~1999 | body_length_range_mm=4855~4855"
hyundai,YF쏘나타,"['그랜드', '럭셔리', '로얄', '블루세이버', '탑', '프라임', '프리미어', '디럭스', 'DTX', 'LTX']","['2.0 CVVL', '2.0 LPi', '2.0 LPi (장애인용)', '2.0 LPi (택시형)', '2.0 VVT', '2.0 터보', '2.4']","class_name_examples=그랜드, 럭셔리, 로얄, 블루세이버, 탑, 프라임, 프리미어, 디럭스, DTX, LTX | level_name_examples=2.0 CVVL, 2.0 LPi, 2.0 LPi (장애인용), 2.0 LPi (택시형), 2.0 VVT, 2.0 터보, 2.4 | launch_price_range_krw=0~30000000 | displacement_range_cc=1998~2359 | body_length_range_mm=4820~4820"
hyundai,i20,"['(08~11년)', '(12~14년)']",['1.4'],"class_name_examples=(08~11년), (12~14년) | level_name_examples=1.4 | launch_price_range_krw=0~0 | displacement_range_cc=1396~1396 | body_length_range_mm=3940~3995"
hyundai,i30,"['디럭스', '럭셔리', '월드컵 스페셜 에디션', '익스트림', '트렌디', '프리미어', '프리미어 브라운', '프리미어 브라운 스페셜', '유니크', '트랜디']","['1.6 VVT', '1.6 디젤', '2.0']","class_name_examples=디럭스, 럭셔리, 월드컵 스페셜 에디션, 익스트림, 트렌디, 프리미어, 프리미어 브라운, 프리미어 브라운 스페셜, 유니크, 트랜디 | level_name_examples=1.6 VVT, 1.6 디젤, 2.0 | launch_price_range_krw=12800000~22050000 | displacement_range_cc=1582~1975 | body_length_range_mm=4245~4475"
hyundai,i30 PD,"['모던', '스마트', '스타일', '스타일 베스트핏', '튜너 패키지', '프리미엄', 'N 라인', 'N 라인 스포츠 에센스 에디션', '스포츠', '스포츠 프리미엄']","['1.4 터보', '1.6 디젤', '1.6 터보']","class_name_examples=모던, 스마트, 스타일, 스타일 베스트핏, 튜너 패키지, 프리미엄, N 라인, N 라인 스포츠 에센스 에디션, 스포츠, 스포츠 프리미엄 | level_name_examples=1.4 터보, 1.6 디젤, 1.6 터보 | launch_price_range_krw=18550000~25560000 | displacement_range_cc=1353~1591 | body_length_range_mm=4340~4340"
hyundai,i30CW,"['디럭스', '럭셔리', '월드컵 스페셜 에디션', '트렌디', '프리미어', '익스트림']","['1.6', '1.6 디젤', '2.0']","class_name_examples=디럭스, 럭셔리, 월드컵 스페셜 에디션, 트렌디, 프리미어, 익스트림 | level_name_examples=1.6, 1.6 디젤, 2.0 | launch_price_range_krw=13500000~21230000 | displacement_range_cc=1582~1975 | body_length_range_mm=4475~4475"
hyundai,i40,"['PYL', '디 스팩', '모던', '스마트', '유니크', '프리미엄']","['1.7 디젤 왜건', '2.0 왜건']","class_name_examples=PYL, 디 스팩, 모던, 스마트, 유니크, 프리미엄 | level_name_examples=1.7 디젤 왜건, 2.0 왜건 | launch_price_range_krw=0~32450000 | displacement_range_cc=1685~1999 | body_length_range_mm=4770~4815"
hyundai,i40 살룬,"['PYL', '디 스팩', '모던', '스마트', '유니크', '프리미엄']","['1.7 디젤', '2.0']","class_name_examples=PYL, 디 스팩, 모던, 스마트, 유니크, 프리미엄 | level_name_examples=1.7 디젤, 2.0 | launch_price_range_krw=0~31550000 | displacement_range_cc=1685~1999 | body_length_range_mm=4740~4745"
hyundai,그랜드스타렉스,"['스마트', 'CVX 디럭스', 'CVX 럭셔리', 'CVX 밸류', 'CVX 프리미엄', '기본형', '모던', '스마트 스페셜', 'HVX VIP팩', 'HVX 프리미엄']","['2.4 LPi 밴 3인승', '2.5 디젤 밴 3인승 2WD', '2.5 디젤 밴 5인승 2WD', '2.5 디젤 왜건 11인승 2WD', '2.5 디젤 왜건 11인승 4WD', '2.5 디젤 왜건 12인승 2WD', '2.5 디젤 왜건 12인승 4WD', '리무진', '어린이보호차']","class_name_examples=스마트, CVX 디럭스, CVX 럭셔리, CVX 밸류, CVX 프리미엄, 기본형, 모던, 스마트 스페셜, HVX VIP팩, HVX 프리미엄 | level_name_examples=2.4 LPi 밴 3인승, 2.5 디젤 밴 3인승 2WD, 2.5 디젤 밴 5인승 2WD, 2.5 디젤 왜건 11인승 2WD, 2.5 디젤 왜건 11인승 4WD, 2.5 디젤 왜건 12인승 2WD, 2.5 디젤 왜건 12인승 4WD, 리무진, 어린이보호차 | launch_price_range_krw=0~26700000 | displacement_range_cc=2359~2497 | body_length_range_mm=5125~5150"
hyundai,그랜저HG,"['모던', '모던 컬렉션', '프리미엄', '프리미엄 컬렉션', '럭셔리', '스페셜', '아제라(수출형)', '노블', '더 타임리스', '로얄']","['220 디젤', '240', '300', '300 LPi', '300 LPi (장애인용)', '300 LPi (택시형)', '330']","class_name_examples=모던, 모던 컬렉션, 프리미엄, 프리미엄 컬렉션, 럭셔리, 스페셜, 아제라(수출형), 노블, 더 타임리스, 로얄 | level_name_examples=220 디젤, 240, 300, 300 LPi, 300 LPi (장애인용), 300 LPi (택시형), 330 | launch_price_range_krw=0~44500000 | displacement_range_cc=2199~3342 | body_length_range_mm=4910~4920"
hyundai,그랜저HG 하이브리드,"['프리미엄', '프리미엄 컬렉션']",['2.4 HEV'],"class_name_examples=프리미엄, 프리미엄 컬렉션 | level_name_examples=2.4 HEV | launch_price_range_krw=36030000~38110000 | displacement_range_cc=2359~2359 | body_length_range_mm=4910~4920"
hyundai,그랜저IG,"['모던', '프리미엄', '프리미엄 스페셜', '모던 베이직 (렌터카)', '익스클루시브 스페셜', '익스클루시브', '모던 베이직', '개인형', '모범형', '모범형 VIP 패키지']","['2.2 디젤', '2.4', '3.0', '3.0 LPi', '3.0 LPi (렌터카용)', '3.0 LPi (장애인용)', '3.0 LPi (택시형)', '3.3']","class_name_examples=모던, 프리미엄, 프리미엄 스페셜, 모던 베이직 (렌터카), 익스클루시브 스페셜, 익스클루시브, 모던 베이직, 개인형, 모범형, 모범형 VIP 패키지 | level_name_examples=2.2 디젤, 2.4, 3.0, 3.0 LPi, 3.0 LPi (렌터카용), 3.0 LPi (장애인용), 3.0 LPi (택시형), 3.3 | launch_price_range_krw=0~43300000 | displacement_range_cc=2199~3342 | body_length_range_mm=4930~4930"
hyundai,그랜저IG 하이브리드,"['익스클루시브', '익스클루시브 스페셜', '프리미엄']",['2.4 HEV'],"class_name_examples=익스클루시브, 익스클루시브 스페셜, 프리미엄 | level_name_examples=2.4 HEV | launch_price_range_krw=0~41380000 | displacement_range_cc=2359~2359 | body_length_range_mm=4930~4930"
hyundai,뉴 i30,"['PYL', 'PYL 튜익스 블랙 라이트', 'PYL 튜익스 크레용', '블루세이버', '유니크', '익스트림', 'D 스펙']","['1.6', '1.6 디젤', '2.0']","class_name_examples=PYL, PYL 튜익스 블랙 라이트, PYL 튜익스 크레용, 블루세이버, 유니크, 익스트림, D 스펙 | level_name_examples=1.6, 1.6 디젤, 2.0 | launch_price_range_krw=18200000~24800000 | displacement_range_cc=1582~1999 | body_length_range_mm=4300~4300"
hyundai,뉴 에쿠스,"['VS380 럭셔리', 'VS380 모던', 'VS380 익스클루시브', 'VS380 프라임', 'VS380 프라임 VIP팩', 'VS380 프레스티지', 'VS380 프레스티지 VIP팩Ⅰ', 'VS380 프레스티지 VIP팩Ⅱ', 'VS380 프레스티지 VVIP팩', 'VS380 프리미엄']","['3.8', '3.8 리무진', '4.6', '5.0', '5.0 리무진']","class_name_examples=VS380 럭셔리, VS380 모던, VS380 익스클루시브, VS380 프라임, VS380 프라임 VIP팩, VS380 프레스티지, VS380 프레스티지 VIP팩Ⅰ, VS380 프레스티지 VIP팩Ⅱ, VS380 프레스티지 VVIP팩, VS380 프리미엄 | level_name_examples=3.8, 3.8 리무진, 4.6, 5.0, 5.0 리무진 | launch_price_range_krw=0~146720000 | displacement_range_cc=3778~5038 | body_length_range_mm=5160~5460"
hyundai,뉴 카운티,['25인승 골드'],['장축'],class_name_examples=25인승 골드 | level_name_examples=장축 | launch_price_range_krw=0~0 | displacement_range_cc=3933~3933 | body_length_range_mm=7085~7085
hyundai,뉴 투싼ix,"['모던', '스마트 스페셜', '스타일', '월드컵 에디션', '스마트', '프리미엄']","['2.0 가솔린', '2.0 디젤 2WD', '2.0 디젤 4WD']","class_name_examples=모던, 스마트 스페셜, 스타일, 월드컵 에디션, 스마트, 프리미엄 | level_name_examples=2.0 가솔린, 2.0 디젤 2WD, 2.0 디젤 4WD | launch_price_range_krw=19550000~29300000 | displacement_range_cc=1995~1999 | body_length_range_mm=4410~4410"
hyundai,더 뉴 i30,"['PYL', '유니크', '튜익스', '튜익스 블랙 라이트', 'D 스펙']","['1.6 디젤', '2.0']","class_name_examples=PYL, 유니크, 튜익스, 튜익스 블랙 라이트, D 스펙 | level_name_examples=1.6 디젤, 2.0 | launch_price_range_krw=18550000~24340000 | displacement_range_cc=1582~1999 | body_length_range_mm=4300~4300"
hyundai,더 뉴 i40,"['D 스펙', 'PYL', '스마트', '유니크', '프리미엄']","['1.7 디젤', '2.0']","class_name_examples=D 스펙, PYL, 스마트, 유니크, 프리미엄 | level_name_examples=1.7 디젤, 2.0 | launch_price_range_krw=24960000~32050000 | displacement_range_cc=1685~1999 | body_length_range_mm=4815~4820"
hyundai,더 뉴 i40 살룬,"['D 스펙', 'PYL', '스마트', '유니크', '프리미엄']","['1.7 디젤', '2.0']","class_name_examples=D 스펙, PYL, 스마트, 유니크, 프리미엄 | level_name_examples=1.7 디젤, 2.0 | launch_price_range_krw=24210000~29100000 | displacement_range_cc=1685~1999 | body_length_range_mm=4745~4745"
hyundai,더 뉴 그랜드스타렉스,"['스마트', '12인승', '15인승', '-', '익스클루시브', '익스클루시브 듀얼 선루프', '스타일', '모던', '2WD', '4WD']","['2.4 LPi 밴 3인승', '2.4 LPi 밴 5인승', '2.4 LPi 어린이보호차', '2.4 LPi 캠핑카', '2.5 디젤 리무진 6인승 2WD', '2.5 디젤 리무진 6인승 4WD', '2.5 디젤 리무진 9인승 2WD', '2.5 디젤 리무진 9인승 4WD', '2.5 디젤 밴 3인승', '2.5 디젤 밴 5인승']","class_name_examples=스마트, 12인승, 15인승, -, 익스클루시브, 익스클루시브 듀얼 선루프, 스타일, 모던, 2WD, 4WD | level_name_examples=2.4 LPi 밴 3인승, 2.4 LPi 밴 5인승, 2.4 LPi 어린이보호차, 2.4 LPi 캠핑카, 2.5 디젤 리무진 6인승 2WD, 2.5 디젤 리무진 6인승 4WD, 2.5 디젤 리무진 9인승 2WD, 2.5 디젤 리무진 9인승 4WD, 2.5 디젤 밴 3인승, 2.5 디젤 밴 5인승 | launch_price_range_krw=0~60380000 | displacement_range_cc=2359~2497 | body_length_range_mm=5150~5175"
hyundai,더 뉴 그랜저,"['르블랑', '익스클루시브', '캘리그래피', '프리미엄', '프리미엄 초이스', '모던', '익스클루시브 플러스', '프리미엄 플러스', '고급형', '고급형 VIP 패키지']","['2.5', '3.0 LPi', '3.0 LPi (렌터카용)', '3.0 LPi (장애인용)', '3.0 LPi (택시형)', '3.3']","class_name_examples=르블랑, 익스클루시브, 캘리그래피, 프리미엄, 프리미엄 초이스, 모던, 익스클루시브 플러스, 프리미엄 플러스, 고급형, 고급형 VIP 패키지 | level_name_examples=2.5, 3.0 LPi, 3.0 LPi (렌터카용), 3.0 LPi (장애인용), 3.0 LPi (택시형), 3.3 | launch_price_range_krw=0~43880000 | displacement_range_cc=2497~3342 | body_length_range_mm=4990~4990"
hyundai,더 뉴 그랜저 하이브리드,"['르블랑', '익스클루시브', '캘리그래피', '프리미엄', '프리미엄 초이스']",['2.4 HEV'],"class_name_examples=르블랑, 익스클루시브, 캘리그래피, 프리미엄, 프리미엄 초이스 | level_name_examples=2.4 HEV | launch_price_range_krw=34020000~46320000 | displacement_range_cc=2359~2999 | body_length_range_mm=4990~4990"
hyundai,더 뉴 맥스크루즈,"['익스클루시브', '익스클루시브 스페셜', '파이니스트 에디션', '프레스티지']","['2.2 디젤 2WD', '2.2 디젤 4WD', '3.3 가솔린 2WD', '3.3 가솔린 4WD']","class_name_examples=익스클루시브, 익스클루시브 스페셜, 파이니스트 에디션, 프레스티지 | level_name_examples=2.2 디젤 2WD, 2.2 디젤 4WD, 3.3 가솔린 2WD, 3.3 가솔린 4WD | launch_price_range_krw=31510000~43090000 | displacement_range_cc=2199~3342 | body_length_range_mm=4905~4915"
hyundai,더 뉴 벨로스터,"['PYL', 'PYL DCT', '유니크', 'D 스펙']","['1.6', '1.6 터보']","class_name_examples=PYL, PYL DCT, 유니크, D 스펙 | level_name_examples=1.6, 1.6 터보 | launch_price_range_krw=18450000~23700000 | displacement_range_cc=1591~1591 | body_length_range_mm=4220~4250"
