brand,model_name,class_name_examples,level_name_examples,context_summary
chevrolet,더 넥스트 스파크,"['LS', 'LS 베이직', 'LT', 'LT 플러스', 'LTZ', '스페셜 에디션 패션', '스페셜 에디션 퍼펙트 블랙', '에코 LS', '에코 LS 베이직', '에코 LT 플러스']",['1.0'],"class_name_examples=LS, LS 베이직, LT, LT 플러스, LTZ, 스페셜 에디션 패션, 스페셜 에디션 퍼펙트 블랙, 에코 LS, 에코 LS 베이직, 에코 LT 플러스 | level_name_examples=1.0 | launch_price_range_krw=9990000~15620000 | displacement_range_cc=995~999 | body_length_range_mm=3595~3595"
chevrolet,더 뉴 말리부,"['LS', 'LS 디럭스', 'LT', 'LT 디럭스', '레드라인 프리미어', '레드라인 프리미어 프라임 세이프티', '프리미어', '프리미어 퍼펙트 블랙 프라임 세이프티', '프리미어 퍼펙트 블랙 프리미어', '프리미어 프라임 세이프티']","['1.3 터보', '1.6 디젤', '1.8 HEV', '2.0 터보']","class_name_examples=LS, LS 디럭스, LT, LT 디럭스, 레드라인 프리미어, 레드라인 프리미어 프라임 세이프티, 프리미어, 프리미어 퍼펙트 블랙 프라임 세이프티, 프리미어 퍼펙트 블랙 프리미어, 프리미어 프라임 세이프티 | level_name_examples=1.3 터보, 1.6 디젤, 1.8 HEV, 2.0 터보 | launch_price_range_krw=23450000~38170000 | displacement_range_cc=1341~1998 | body_length_range_mm=4935~4935"
chevrolet,더 뉴 스파크,"['LS', 'LS 베이직', 'LT', '레드픽 에디션', '마이핏 LT', '마이핏 에디션', '프리미어']",['1.0'],"class_name_examples=LS, LS 베이직, LT, 레드픽 에디션, 마이핏 LT, 마이핏 에디션, 프리미어 | level_name_examples=1.0 | launch_price_range_krw=0~14870000 | displacement_range_cc=999~999 | body_length_range_mm=3595~3595"
chevrolet,더 뉴 아베오,"['L', 'LS', 'LT']","['1.4 터보', '1.4 터보 해치백']","class_name_examples=L, LS, LT | level_name_examples=1.4 터보, 1.4 터보 해치백 | launch_price_range_krw=15330000~17960000 | displacement_range_cc=1362~1362 | body_length_range_mm=4060~4420"
chevrolet,더 뉴 카마로 SS,"['-', '볼케이노 레드']",['6.2 V8'],"class_name_examples=-, 볼케이노 레드 | level_name_examples=6.2 V8 | launch_price_range_krw=54280000~55070000 | displacement_range_cc=6162~6162 | body_length_range_mm=4785~4785"
chevrolet,더 뉴 트랙스,"['LS', 'LS 디럭스', 'LT', 'LT 디럭스', 'LT 코어', 'LTZ', '레드라인 LT 코어', '레드라인 프리미어', '블레이드 에디션', '퍼펙트 블랙']","['1.4 가솔린', '1.6 디젤']","class_name_examples=LS, LS 디럭스, LT, LT 디럭스, LT 코어, LTZ, 레드라인 LT 코어, 레드라인 프리미어, 블레이드 에디션, 퍼펙트 블랙 | level_name_examples=1.4 가솔린, 1.6 디젤 | launch_price_range_krw=18220000~26060000 | displacement_range_cc=1362~1598 | body_length_range_mm=4245~4255"
chevrolet,더 뉴 트레일블레이저,"['LT', 'RS', '액티브', '프리미어']","['1.3 터보 2WD', '1.3 터보 AWD']","class_name_examples=LT, RS, 액티브, 프리미어 | level_name_examples=1.3 터보 2WD, 1.3 터보 AWD | launch_price_range_krw=0~30990000 | displacement_range_cc=1341~1341 | body_length_range_mm=4410~4425"
chevrolet,리얼 뉴 콜로라도,"['익스트림', 'Z71-X', 'Z71-X 미드나잇', '익스트림-X']","['3.6 V6', '3.6 V6 4WD']","class_name_examples=익스트림, Z71-X, Z71-X 미드나잇, 익스트림-X | level_name_examples=3.6 V6, 3.6 V6 4WD | launch_price_range_krw=41600000~46490000 | displacement_range_cc=3649~3649 | body_length_range_mm=5395~5395"
chevrolet,말리부,"['LS', 'LS 디럭스 팩', 'LT', 'LT 디럭스팩', 'LTZ', 'LTZ 디럭스팩(블랙휠)', 'LTZ 디럭스팩(알로이휠)', 'LS 디럭스팩', 'LT 프리미엄팩']","['2.0', '2.0 디젤', '2.4']","class_name_examples=LS, LS 디럭스 팩, LT, LT 디럭스팩, LTZ, LTZ 디럭스팩(블랙휠), LTZ 디럭스팩(알로이휠), LS 디럭스팩, LT 프리미엄팩 | level_name_examples=2.0, 2.0 디젤, 2.4 | launch_price_range_krw=21850000~31620000 | displacement_range_cc=1956~2384 | body_length_range_mm=4865~4865"
chevrolet,볼트 (VOLT),['-'],['1.5 EREV'],class_name_examples=- | level_name_examples=1.5 EREV | launch_price_range_krw=36360000~38000000 | displacement_range_cc=1490~1490 | body_length_range_mm=4580~4580
chevrolet,스파크,"['L', 'LS', 'LS 스타', 'LS 플러스', 'LT', 'LT 스페셜 에디션', '비트 에디션', '스트라이프 에디션', '시티 팝 에디션', '씨티런 에디션']","['1.0', '1.0 LPGi', '1.0 S']","class_name_examples=L, LS, LS 스타, LS 플러스, LT, LT 스페셜 에디션, 비트 에디션, 스트라이프 에디션, 시티 팝 에디션, 씨티런 에디션 | level_name_examples=1.0, 1.0 LPGi, 1.0 S | launch_price_range_krw=8100000~13980000 | displacement_range_cc=995~995 | body_length_range_mm=3595~3595"
chevrolet,아베오,"['L 스타', 'LS 고급형', 'LT 스포츠', 'LT 최고급형', '스타일', '퍼펙트 블랙', 'LS 스탠다드', 'LS 스포츠', 'RS', 'L 일반형']","['1.4 터보', '1.4 터보 해치백', '1.6', '1.6 해치백']","class_name_examples=L 스타, LS 고급형, LT 스포츠, LT 최고급형, 스타일, 퍼펙트 블랙, LS 스탠다드, LS 스포츠, RS, L 일반형 | level_name_examples=1.4 터보, 1.4 터보 해치백, 1.6, 1.6 해치백 | launch_price_range_krw=12590000~19980000 | displacement_range_cc=1362~1598 | body_length_range_mm=4040~4400"
chevrolet,어메이징 뉴 크루즈,"['LT 디럭스팩', 'LTZ', '프레셜 에디션 퍼펙트 블랙', 'LS', 'LT', '퍼펙트 블랙']","['1.4 터보', '1.4 터보 5도어', '1.6 디젤', '1.8', '1.8 5도어', '2.0 디젤', '2.0 디젤 5도어']","class_name_examples=LT 디럭스팩, LTZ, 프레셜 에디션 퍼펙트 블랙, LS, LT, 퍼펙트 블랙 | level_name_examples=1.4 터보, 1.4 터보 5도어, 1.6 디젤, 1.8, 1.8 5도어, 2.0 디젤, 2.0 디젤 5도어 | launch_price_range_krw=17500000~23670000 | displacement_range_cc=1362~1998 | body_length_range_mm=4510~4640"
chevrolet,올 뉴 말리부,"['LS', 'LS 디럭스', 'LT', 'LT 디럭스', 'LTZ', 'LTZ 퍼펙트 블랙', 'LTZ 프리미엄 세이프티', 'LTZ 프리미엄 세이프티 퍼펙트 블랙', 'LT 프리미엄', 'LTZ 프리미엄']","['1.5 터보', '1.8 HEV', '2.0 터보']","class_name_examples=LS, LS 디럭스, LT, LT 디럭스, LTZ, LTZ 퍼펙트 블랙, LTZ 프리미엄 세이프티, LTZ 프리미엄 세이프티 퍼펙트 블랙, LT 프리미엄, LTZ 프리미엄 | level_name_examples=1.5 터보, 1.8 HEV, 2.0 터보 | launch_price_range_krw=23450000~33700000 | displacement_range_cc=1490~1998 | body_length_range_mm=4925~4925"
chevrolet,올 뉴 카마로 SS,"['-', '볼케이노 레드']",['6.2 V8'],"class_name_examples=-, 볼케이노 레드 | level_name_examples=6.2 V8 | launch_price_range_krw=0~50980000 | displacement_range_cc=6162~6162 | body_length_range_mm=4785~4785"
chevrolet,올 뉴 콜로라도,['Z71'],['2.7 가솔린'],class_name_examples=Z71 | level_name_examples=2.7 가솔린 | launch_price_range_krw=72790000~72790000 | displacement_range_cc=2726~2726 | body_length_range_mm=5410~5410
chevrolet,올 뉴 크루즈,"['LS', 'LT', 'LT 디럭스', 'LTZ', 'LTZ 디럭스']","['1.4 터보', '1.6 디젤']","class_name_examples=LS, LT, LT 디럭스, LTZ, LTZ 디럭스 | level_name_examples=1.4 터보, 1.6 디젤 | launch_price_range_krw=16600000~25120000 | displacement_range_cc=1399~1598 | body_length_range_mm=4665~4665"
chevrolet,올란도,"['LS 고급형', 'LT 세이프티', 'LT 컨비니언스', 'LT 프리미엄', 'LTZ 세이프티', 'LTZ 프리미엄', '다이나믹 스페셜 에디션', '퍼펙트 블랙', 'LS 일반형', '다이나믹']","['1.6 디젤', '2.0 LPGi', '2.0 LPGi (랜터카용)', '2.0 LPGi (택시형)', '2.0 디젤']","class_name_examples=LS 고급형, LT 세이프티, LT 컨비니언스, LT 프리미엄, LTZ 세이프티, LTZ 프리미엄, 다이나믹 스페셜 에디션, 퍼펙트 블랙, LS 일반형, 다이나믹 | level_name_examples=1.6 디젤, 2.0 LPGi, 2.0 LPGi (랜터카용), 2.0 LPGi (택시형), 2.0 디젤 | launch_price_range_krw=18910000~29160000 | displacement_range_cc=1598~1998 | body_length_range_mm=4665~4665"
chevrolet,이쿼녹스,"['LS', 'LT', 'LT 익스클루시브', 'LT 플러스', 'LT 플러스 익스클루시브', '퍼펙트 블랙', '프리미어', '프리미어 익스클루시브']","['1.6 디젤', '1.6 디젤 AWD']","class_name_examples=LS, LT, LT 익스클루시브, LT 플러스, LT 플러스 익스클루시브, 퍼펙트 블랙, 프리미어, 프리미어 익스클루시브 | level_name_examples=1.6 디젤, 1.6 디젤 AWD | launch_price_range_krw=29450000~42400000 | displacement_range_cc=1598~1598 | body_length_range_mm=4650~4650"
chevrolet,임팔라,"['LT', 'LTZ', '미드나이트 블랙', '프리미어']","['2.5', '3.6']","class_name_examples=LT, LTZ, 미드나이트 블랙, 프리미어 | level_name_examples=2.5, 3.6 | launch_price_range_krw=0~45360000 | displacement_range_cc=2457~3564 | body_length_range_mm=5110~5110"
chevrolet,카마로,"['-', 'RS']",['3.6 V6'],"class_name_examples=-, RS | level_name_examples=3.6 V6 | launch_price_range_krw=43400000~48100000 | displacement_range_cc=3564~3564 | body_length_range_mm=4836~4884"
chevrolet,캡티바,"['LS', 'LS 디럭스팩', 'LS 프리미엄', 'LT', 'LT 디럭스팩', 'LT 프리미엄', 'LTZ', '다이나믹 레드', '시티팩', '어드벤처팩']","['2.0 디젤 2WD', '2.2 디젤 2WD', '2.2 디젤 4WD', '2.4 가솔린']","class_name_examples=LS, LS 디럭스팩, LS 프리미엄, LT, LT 디럭스팩, LT 프리미엄, LTZ, 다이나믹 레드, 시티팩, 어드벤처팩 | level_name_examples=2.0 디젤 2WD, 2.2 디젤 2WD, 2.2 디젤 4WD, 2.4 가솔린 | launch_price_range_krw=0~34070000 | displacement_range_cc=1956~2384 | body_length_range_mm=4635~4690"
chevrolet,콜로라도,"['익스트림', '익스트림-X', '익스트림-X 사이드 레일', '익스트림-X 스포츠 바']","['3.6 V6', '3.6 V6 4WD']","class_name_examples=익스트림, 익스트림-X, 익스트림-X 사이드 레일, 익스트림-X 스포츠 바 | level_name_examples=3.6 V6, 3.6 V6 4WD | launch_price_range_krw=41350000~43500000 | displacement_range_cc=3649~3649 | body_length_range_mm=5415~5415"
chevrolet,콜벳,['-'],['6.2 V8'],class_name_examples=- | level_name_examples=6.2 V8 | launch_price_range_krw=85620000~85620000 | displacement_range_cc=6162~6162 | body_length_range_mm=4435~4435
