brand,model_name,first_model_year,last_model_year,submodel_line_examples,trim_name_examples
chevrolet,뉴 볼트 EV,2022,2022,(전기),프리미어
chevrolet,더 넥스트 스파크,2015,2018,"1.0, 1.0 승용밴","LS, LS 베이직, LT, LT 플러스, LTZ, 스페셜 에디션 패션, 스페셜 에디션 퍼펙트 블랙, 에코 LS, 에코 LS 베이직, 에코 LT 플러스"
chevrolet,더 넥스트 이쿼녹스,2022,2022,"1.5 터보 2WD, 1.5 터보 AWD","LS, LT, RS, 프리미어"
chevrolet,더 뉴 말리부,2019,2021,"1.3 터보, 1.6 디젤, 1.8 HEV, 2.0 터보","LS, LS 디럭스, LT, LT 디럭스, 레드라인 프리미어, 레드라인 프리미어 프라임 세이프티, 프리미어, 프리미어 퍼펙트 블랙 프라임 세이프티, 프리미어 퍼펙트 블랙 프리미어, 프리미어 프라임 세이프티"
chevrolet,더 뉴 스파크,2018,2021,"1.0, 1.0 승용밴","LS, LS 베이직, LT, 레드픽 에디션, 마이핏 LT, 마이핏 에디션, 프리미어, -, 베이직"
chevrolet,더 뉴 아베오,2017,2019,"1.4 터보, 1.4 터보 해치백","L, LS, LT"
chevrolet,더 뉴 카마로 SS,2019,2019,6.2 V8,"-, 볼케이노 레드"
chevrolet,더 뉴 트랙스,2016,2019,"1.4 가솔린, 1.6 디젤","LS, LS 디럭스, LT, LT 디럭스, LT 코어, LTZ, 레드라인 LT 코어, 레드라인 프리미어, 블레이드 에디션, 퍼펙트 블랙"
chevrolet,더 뉴 트레일블레이저,2024,2025,"1.3 터보 2WD, 1.3 터보 AWD","LT, RS, 액티브, 프리미어"
chevrolet,리얼 뉴 콜로라도,2021,2021,"3.6 V6, 3.6 V6 4WD","익스트림, Z71-X, Z71-X 미드나잇, 익스트림-X"
chevrolet,말리부,2010,2016,"2.0, 2.0 LPGi, 2.0 디젤, 2.4","LS, LS 디럭스 팩, LT, LT 디럭스팩, LTZ, LTZ 디럭스팩(블랙휠), LTZ 디럭스팩(알로이휠), LS 디럭스, LT 디럭스, LTZ 디럭스"
chevrolet,볼트 (VOLT),2017,2018,1.5 EREV,-
chevrolet,볼트 EUV,2022,2022,(전기),프리미어
chevrolet,볼트 EV,2017,2019,(전기),"-, LT, LT 디럭스, 프리미어"
chevrolet,스파크,2011,2015,"1.0, 1.0 LPGi, 1.0 LPGi 밴, 1.0 S, 1.0 밴","L, LS, LS 스타, LS 플러스, LT, LT 스페셜 에디션, 비트 에디션, 스트라이프 에디션, 시티 팝 에디션, 씨티런 에디션"
chevrolet,스파크 EV,2014,2014,EV,-
chevrolet,아베오,2011,2016,"1.4 터보, 1.4 터보 해치백, 1.6, 1.6 해치백","L 스타, LS 고급형, LT 스포츠, LT 최고급형, 스타일, 퍼펙트 블랙, LS 스탠다드, LS 스포츠, RS, L 일반형"
chevrolet,어메이징 뉴 크루즈,2015,2016,"1.4 터보, 1.4 터보 5도어, 1.6 디젤, 1.8, 1.8 5도어, 2.0 디젤, 2.0 디젤 5도어","LT 디럭스팩, LTZ, 프레셜 에디션 퍼펙트 블랙, LS, LT, 퍼펙트 블랙"
chevrolet,올 뉴 말리부,2016,2018,"1.5 터보, 1.8 HEV, 2.0 터보","LS, LS 디럭스, LT, LT 디럭스, LTZ, LTZ 퍼펙트 블랙, LTZ 프리미엄 세이프티, LTZ 프리미엄 세이프티 퍼펙트 블랙, LT 프리미엄, LTZ 프리미엄"
chevrolet,올 뉴 카마로 SS,2017,2018,6.2 V8,"-, 볼케이노 레드"
chevrolet,올 뉴 콜로라도,2024,2024,2.7 가솔린,Z71
chevrolet,올 뉴 크루즈,2017,2017,"1.4 터보, 1.6 디젤","LS, LT, LT 디럭스, LTZ, LTZ 디럭스"
chevrolet,올란도,2011,2018,"1.6 디젤, 2.0 LPGi, 2.0 LPGi (랜터카용), 2.0 LPGi (택시형), 2.0 디젤","LS 고급형, LT 세이프티, LT 컨비니언스, LT 프리미엄, LTZ 세이프티, LTZ 프리미엄, 다이나믹 스페셜 에디션, 퍼펙트 블랙, LS 일반형, 다이나믹"
chevrolet,이쿼녹스,2018,2019,"1.6 디젤, 1.6 디젤 AWD","LS, LT, LT 익스클루시브, LT 플러스, LT 플러스 익스클루시브, 퍼펙트 블랙, 프리미어, 프리미어 익스클루시브"
chevrolet,임팔라,2016,2018,"2.5, 3.6","LT, LTZ, 미드나이트 블랙, 프리미어"
chevrolet,카마로,2011,2015,3.6 V6,"-, RS"
chevrolet,캡티바,2011,2018,"2.0 디젤 2WD, 2.2 디젤 2WD, 2.2 디젤 4WD, 2.4 가솔린","LS, LS 디럭스팩, LS 프리미엄, LT, LT 디럭스팩, LT 프리미엄, LTZ, 다이나믹 레드, 시티팩, 어드벤처팩"
chevrolet,콜로라도,2020,2020,"3.6 V6, 3.6 V6 4WD","익스트림, 익스트림-X, 익스트림-X 사이드 레일, 익스트림-X 스포츠 바"
chevrolet,콜벳,2012,2012,6.2 V8,-
chevrolet,크루즈,2011,2016,"1.4 터보, 1.4 터보 5도어, 1.6, 1.8, 1.8 5도어, 2.0 디젤, 2.0 디젤 5도어","LT 플러스 래더팩, LTZ 플러스, LTZ 플러스 더 퍼펙트 블랙, LTZ 플러스 스타일팩, LT, LT 플러스, LTZ, LTZ 더 퍼펙트 블랙, LS, LS 플러스"
chevrolet,타호,2022,2022,6.2 4WD,"다크 나이트, 하이 컨트리"
chevrolet,트래버스,2020,2020,3.6 V6,"LT 레더, LT 레더 프리미엄, RS, 레드라인, 프리미어"
chevrolet,트랙스,2013,2016,"1.4 가솔린, 1.6 디젤","LS, LS 디럭스 패키지, LT, LT 디럭스, LT 레더 패키지, LTZ, 퍼팩트 블랙, 프리미엄 에디션, 퍼펙트 블랙"
chevrolet,트랙스 크로스오버,2024,2026,1.2 가솔린 터보,"LS, LT, RS, RS 미드나잇 에디션, 레드라인, 액티브"
chevrolet,트레일블레이저,2020,2022,"1.2 터보 2WD, 1.3 터보 2WD, 1.3 터보 AWD","LS, LT, RS, 액티브, 프리미어"
hyundai,LF쏘나타,2014,2017,"1.6 터보, 1.7 디젤, 2.0, 2.0 LPi, 2.0 LPi (장애인용), 2.0 LPi (택시형), 2.0 구조변경(가솔린), 2.0 터보, 2.4","스마트, 스마트 스페셜, 스타일, 썸머 스페셜, 와일드 버건디, 윈터 스페셜, 케어 플러스, 스타일 스페셜, 프리미엄, 프리미엄 스페셜"
hyundai,LF쏘나타 하이브리드,2015,2017,"2.0 HEV, 2.0 PHEV","모던, 모던 스페셜, 스마트, 프리미엄, 프리미엄 스페셜, 익스클루시브"
hyundai,ST1,2024,2025,"샤시캡, 카고, 카고 냉동, 특장 하이탑","스마트, 스타일, 프리미엄"
hyundai,YF쏘나타,2009,2012,"2.0 CVVL, 2.0 LPi, 2.0 LPi (장애인용), 2.0 LPi (택시형), 2.0 VVT, 2.0 터보, 2.4, 2.4 수출형, 구조변경(가솔린)","그랜드, 럭셔리, 로얄, 블루세이버, 탑, 프라임, 프리미어, 디럭스, DTX, LTX"
hyundai,e-에어로타운,2010,2020,"기타, 롱바디, 캠핑카, 표준형","-, 21인승 도시형(마을), 34인승 영업용, 34인승 자가용, 35인승 자가용, 38인승 자가용, 19인승 도시형(마을), 30인승 자가용"
hyundai,e-카운티,2005,2012,"롱바디, 캠핑카, 표준형","12인승 마을버스 중후문 디럭스, 12인승 자가용 리무진, 15인승 렌터카 투어, 15인승 마을버스 디럭스, 15인승 자가용 리무진, 16인승 영업용 투어, 18인승 장애인용 슈퍼, 25인승 영업용 골드, 25인승 영업용 슈퍼, 25인승 영업용 스페셜"
hyundai,e마이티,2007,2015,"2.5톤 내장탑차, 2.5톤 냉동탑차, 2.5톤 더블캡, 2.5톤 덤프, 2.5톤 슈퍼캡, 2.5톤 윙바디, 2.5톤 일반캡, 2.5톤 큐티, 2톤, 2톤 냉동탑차","-, 장축고상 슈퍼, 장축고상 골드, 장축저상 골드, 장축저상 슈퍼, 단축고상 디럭스, 장축고상 디럭스, 장축저상 디럭스, 장축고상 하이슈퍼, 장축저상 하이슈퍼"
hyundai,i20,2008,2012,1.4,"(08~11년), (12~14년)"
hyundai,i30,2007,2012,"1.6 VVT, 1.6 디젤, 1.6 디젤 유로V, 1.8 수출형, 2.0","디럭스, 럭셔리, 월드컵 스페셜 에디션, 익스트림, 트렌디, 프리미어, 프리미어 브라운, 프리미어 브라운 스페셜, 유니크, 트랜디"
