brand,model_name,first_model_year,last_model_year,submodel_line_examples,trim_name_examples
hyundai,i30 PD,2016,2019,"1.4 터보, 1.6 디젤, 1.6 터보, 2.0 수출형","모던, 스마트, 스타일, 스타일 베스트핏, 튜너 패키지, 프리미엄, N 라인, N 라인 스포츠 에센스 에디션, 스포츠, 스포츠 프리미엄"
hyundai,i30CW,2007,2011,"1.6, 1.6 디젤, 1.6 디젤 유로V, 2.0","디럭스, 럭셔리, 월드컵 스페셜 에디션, 트렌디, 프리미어, 익스트림"
hyundai,i40,2011,2015,"1.7 디젤 왜건, 2.0 왜건","PYL, 디 스팩, 모던, 스마트, 유니크, 프리미엄, 수출형"
hyundai,i40 살룬,2012,2015,"1.7 디젤, 2.0","PYL, 디 스팩, 모던, 스마트, 유니크, 프리미엄"
hyundai,그랜드스타렉스,2007,2017,"2.4 LPi 밴 3인승, 2.4 LPi 밴 5인승, 2.4 LPi 왜건 12인승, 2.5 디젤 밴 3인승 2WD, 2.5 디젤 밴 5인승 2WD, 2.5 디젤 왜건 11인승 2WD, 2.5 디젤 왜건 11인승 4WD, 2.5 디젤 왜건 12인승 2WD, 2.5 디젤 왜건 12인승 4WD, 냉동차량","CVX 디럭스, CVX 럭셔리, CVX 밸류, CVX 프리미엄, 스마트, 기본형, 모던, 스마트 스페셜, HVX VIP팩, HVX 프리미엄"
hyundai,그랜저HG,2011,2022,"220 디젤, 240, 300, 300 LPi, 300 LPi (장애인용), 300 LPi (택시형), 300 구조변경 (가솔린), 330","모던, 모던 컬렉션, 프리미엄, 프리미엄 컬렉션, 럭셔리, 스페셜, 아제라(수출형), 노블, 더 타임리스, 로얄"
hyundai,그랜저HG 하이브리드,2013,2015,2.4 HEV,"프리미엄, 프리미엄 컬렉션"
hyundai,그랜저IG,2017,2019,"2.2 디젤, 2.4, 3.0, 3.0 LPi, 3.0 LPi (렌터카용), 3.0 LPi (장애인용), 3.0 LPi (택시형), 3.3, 3.5 아제라(수출형)","모던, 프리미엄, 프리미엄 스페셜, 모던 베이직 (렌터카), 익스클루시브 스페셜, 익스클루시브, 모던 베이직, 개인형, 모범형, 모범형 VIP 패키지"
hyundai,그랜저IG 하이브리드,2017,2019,2.4 HEV,"익스클루시브, 익스클루시브 스페셜, 프리미엄"
hyundai,그린시티,2014,2014,"21인승, 25인승, 29인승, 34인승, CNG 21인승, CNG 25인승, CNG 29인승","마을버스, 시내버스, 시외버스, 자가용"
hyundai,넥쏘,2018,2018,"모던, 프리미엄",-
hyundai,넥쏘 (NH2),2025,2025,"익스클루시브, 프레스티지","-, 스페셜"
hyundai,뉴 i30,2012,2015,"1.6, 1.6 디젤, 1.8 수출형, 2.0","PYL, PYL 튜익스 블랙 라이트, PYL 튜익스 크레용, 블루세이버, 유니크, 익스트림, -, D 스펙"
hyundai,뉴 슈퍼에어로시티,2020,2021,"21+35+1인승, 34인승, 38인승, 39인승, 46인승, 62인승, CNG 25+27+1인승, CNG 25+31+1인승, CNG 34인승, CNG 38인승","도시형(마을), 장애인버스, 시내버스, 시외버스, 자가용, -"
hyundai,뉴 에쿠스,2009,2015,"3.8, 3.8 리무진, 4.6, 5.0, 5.0 리무진","VS380 럭셔리, VS380 모던, VS380 익스클루시브, VS380 프라임, VS380 프라임 VIP팩, VS380 프레스티지, VS380 프레스티지 VIP팩Ⅰ, VS380 프레스티지 VIP팩Ⅱ, VS380 프레스티지 VVIP팩, VS380 프리미엄"
hyundai,뉴 카운티,2013,2014,"단축, 이동도서관차, 장애인용, 장축, 캠핑카","15인승 슈퍼, 25인승 디럭스, 25인승 슈퍼, 25인승 일반형, 34인승 어린이버스 디럭스, 11인승 리무진, 12인승 마을버스 중후문 디럭스, 15인승 렌터카 투어, 15인승 리무진, 15인승 마을버스 전중문 디럭스"
hyundai,뉴 투싼ix,2013,2015,"2.0 가솔린, 2.0 디젤 2WD, 2.0 디젤 4WD, 퓨얼 셀 2WD","모던, 스마트 스페셜, 스타일, 월드컵 에디션, 스마트, 프리미엄, -"
hyundai,더 뉴 i30,2015,2015,"1.6 디젤, 2.0","PYL, 유니크, 튜익스, 튜익스 블랙 라이트, D 스펙, 수출형"
hyundai,더 뉴 i40,2015,2018,"1.7 디젤, 1.7 디젤 (수출형), 2.0","D 스펙, PYL, 스마트, 유니크, 프리미엄, -"
hyundai,더 뉴 i40 살룬,2015,2018,"1.7 디젤, 2.0","D 스펙, PYL, 스마트, 유니크, 프리미엄"
hyundai,더 뉴 그랜드스타렉스,2018,2021,"2.4 LPi 12인승, 2.4 LPi 밴 3인승, 2.4 LPi 밴 5인승, 2.4 LPi 어린이보호차, 2.4 LPi 캠핑카, 2.5 디젤 리무진 6인승 2WD, 2.5 디젤 리무진 6인승 4WD, 2.5 디젤 리무진 9인승 2WD, 2.5 디젤 리무진 9인승 4WD, 2.5 디젤 밴 3인승","스마트, 12인승, 15인승, -, 익스클루시브, 익스클루시브 듀얼 선루프, 스타일, 모던, 2WD, 4WD"
hyundai,더 뉴 그랜저,2020,2021,"2.5, 3.0 LPi, 3.0 LPi (렌터카용), 3.0 LPi (장애인용), 3.0 LPi (택시형), 3.3","르블랑, 익스클루시브, 캘리그래피, 프리미엄, 프리미엄 초이스, 모던, 익스클루시브 플러스, 프리미엄 플러스, 고급형, 고급형 VIP 패키지"
hyundai,더 뉴 그랜저 하이브리드,2020,2021,2.4 HEV,"르블랑, 익스클루시브, 캘리그래피, 프리미엄, 프리미엄 초이스"
hyundai,더 뉴 맥스크루즈,2013,2018,"2.2 디젤 2WD, 2.2 디젤 4WD, 3.3 가솔린 2WD, 3.3 가솔린 4WD","익스클루시브, 익스클루시브 스페셜, 파이니스트 에디션, 프레스티지, 수출형"
hyundai,더 뉴 벨로스터,2015,2015,"1.6, 1.6 터보","PYL, PYL DCT, 유니크, D 스펙"
hyundai,더 뉴 스타리아,2025,2025,"2.2 디젤 7인승 휠체어 리프트 2WD, 2.2 디젤 7인승 휠체어 리프트 4WD, 2.2 디젤 7인승 휠체어 슬로프 2WD, 2.2 디젤 7인승 휠체어 슬로프 4WD, 2.2 디젤 라운지 7인승 2WD, 2.2 디젤 라운지 7인승 4WD, 2.2 디젤 라운지 9인승 2WD, 2.2 디젤 라운지 9인승 4WD, 2.2 디젤 라운지 모빌리티 7인승 2WD, 2.2 디젤 라운지 모빌리티 7인승 4WD","7인승, 리무진, 인스퍼레이션, -, 프레스티지, 9인승, 모던, 스마트, 특장업체, 프레스티지 캠퍼 11인승"
hyundai,더 뉴 싼타페,2021,2022,"2.2 디젤 2WD, 2.2 디젤 4WD, 2.5 가솔린 터보 2WD, 2.5 가솔린 터보 AWD","익스클루시브 5인승, 익스클루시브 6인승, 익스클루시브 7인승, 캘리그래피 5인승, 캘리그래피 6인승, 캘리그래피 7인승, 프레스티지 5인승, 프레스티지 6인승, 프레스티지 7인승, 프리미엄 5인승"
hyundai,더 뉴 싼타페 하이브리드,2022,2022,"1.6 터보 HEV 2WD, 1.6 터보 HEV AWD","익스클루시브 5인승, 익스클루시브 6인승, 익스클루시브 7인승, 캘리그래피 5인승, 캘리그래피 6인승, 캘리그래피 7인승, 프레스티지 5인승, 프레스티지 6인승, 프레스티지 7인승"
hyundai,더 뉴 아반떼,2014,2016,"1.6, 1.6 LPi, 1.6 LPi (장애인용), 1.6 디젤","모던, 모던 튜익스 에디션 II, 스마트, 스마트 튜익스 에디션 I, 스타일, 월드컵 에디션, 텐 밀리언 리미티드, 텐 밀리언 튜익스 에디션 II, 프리미엄, 프리미엄 튜익스 에디션 II"
hyundai,더 뉴 아반떼 N,2023,2026,"2.0 터보 수동, 2.0 터보 자동","-, TCR 디자인 패키지, TCR 에디션 패키지, 시티 팩, 트랙 팩"
hyundai,더 뉴 아반떼 [CN7],2023,2026,"1.6, 1.6 LPi, 1.6 LPi (렌터카용), 1.6 LPi (장애인용)","N라인, 모던, 스마트, 인스퍼레이션"
hyundai,더 뉴 아반떼 하이브리드 [CN7],2023,2026,1.6 HEV,"N라인, 모던, 모던 라이트, 스마트, 인스퍼레이션"
hyundai,더 뉴 아반떼AD,2019,2019,"1.6, 1.6 LPi, 1.6 LPi (렌터카용), 1.6 LPi (장애인용), 1.6 디젤, 1.6 터보 스포츠","스마트, 스마트 베스트 초이스팩, 스마트 초이스, 스타일, 프리미엄, 모던"
hyundai,더 뉴 아이오닉 5,2024,2025,"(영업용) 2WD, (영업용) 4WD, 롱레인지 2WD, 롱레인지 4WD, 스탠다드 2WD","-, N 라인, N 라인(익스클루시브), N 라인(프레스티지), 이-라이트, 익스클루시브, 프레스티지, N 라인 (익스클루시브), N 라인 (프레스티지), 이-밸류 플러스"
hyundai,더 뉴 아이오닉 6,2025,2026,"롱레인지, 롱레인지 AWD, 스탠다드","E-라이트, 익스클루시브, 익스클루시브 N라인, 프레스티지, 프레스티지 N라인, E-밸류 플러스"
hyundai,더 뉴 아이오닉 일렉트릭,2019,2019,(전기),"N, Q"
hyundai,더 뉴 아이오닉 플러그인,2019,2019,1.6 HEV,"N, Q"
hyundai,더 뉴 아이오닉 하이브리드,2019,2019,1.6 HEV,"I, N, Q"
hyundai,더 뉴 제네시스 쿠페,2012,2015,"2.0 터보, 3.8","D, S, GT P, GT R"
hyundai,더 뉴 캐스퍼,2025,2026,"1.0, 1.0 밴, 1.0 터보, 1.0 터보 밴","디 에센셜, 스마트, 인스퍼레이션, 스마트 초이스"
hyundai,더 뉴 코나,2021,2021,"1.6 가솔린 터보 2WD, 1.6 가솔린 터보 4WD, 2.0 가솔린 2WD, 2.0 가솔린 4WD","N 라인 모던, N 라인 인스퍼레이션, 모던, 스마트, 인스퍼레이션"
hyundai,더 뉴 코나 하이브리드,2021,2021,1.6 HEV 2WD,"모던, 스마트, 인스퍼레이션"
hyundai,더 뉴 투싼,2024,2026,"1.6 터보 2WD, 1.6 터보 AWD, 2.0 디젤 2WD, 2.0 디젤 AWD","H-Pick, N 라인 인스퍼레이션, N 라인 프리미엄, 모던, 블랙 익스테리어, 인스퍼레이션, 프리미엄"
hyundai,더 뉴 투싼 하이브리드,2024,2024,"1.6 터보 HEV 2WD, 1.6 터보 HEV AWD","N 라인 인스퍼레이션, N 라인 프리미엄, 모던, 인스퍼레이션, 프리미엄"
hyundai,더 뉴 팰리세이드,2023,2024,"2.2 디젤 2WD, 2.2 디젤 4WD, 3.8 가솔린 2WD, 3.8 가솔린 4WD","VIP, 르블랑, 익스클루시브, 캘리그래피, 캘리그래피 블랙에디션, 프레스티지"
hyundai,디 올 뉴 그랜저,2023,2026,"2.5 2WD, 3.5 2WD, 3.5 4WD, 3.5 LPG 2WD, 3.5 LPG 2WD (장애인용), 3.5 LPG 2WD (택시형)","아너스, 익스클루시브, 캘리그래피, 캘리그래피(블랙익스테리어), 캘리그래피(블랙잉크), 프리미엄, 캘리그래피 (블랙익스테리어), 캘리그래피 (블랙잉크), 익스클루시브 플러스, 프리미엄 플러스"
hyundai,디 올 뉴 그랜저 하이브리드,2023,2026,1.6 터보 HEV,"아너스, 익스클루시브, 캘리그래피, 캘리그래피(블랙익스테리어), 캘리그래피(블랙잉크), 프리미엄"
hyundai,디 올 뉴 싼타페,2024,2026,"2.5 가솔린 터보 2WD, 2.5 가솔린 터보 AWD","H-Pick, 블랙 익스테리어, 블랙잉크, 익스클루시브, 캘리그래피, 프레스티지"
hyundai,디 올 뉴 싼타페 하이브리드,2024,2026,"1.6 터보 HEV 2WD, 1.6 터보 HEV AWD","H-Pick, 블랙 익스테리어, 블랙잉크, 익스클루시브, 캘리그래피, 프레스티지, 프레스티지 플러스"
hyundai,디 올 뉴 코나,2023,2026,"1.6 가솔린 터보 2WD, 1.6 가솔린 터보 4WD, 2.0 가솔린 2WD","H-Pick, N라인, 모던, 블랙 익스테리어, 인스퍼레이션, 프리미엄"
hyundai,디 올 뉴 코나 일렉트릭,2023,2023,"롱레인지, 스탠다드","인스퍼레이션, 프리미엄"
hyundai,디 올 뉴 코나 하이브리드,2023,2025,1.6 터보 HEV,"H-Pick, N라인, 모던, 블랙 익스테리어, 인스퍼레이션, 프리미엄"
hyundai,디 올 뉴 투싼,2021,2021,"1.6 가솔린 터보 2WD, 1.6 가솔린 터보 AWD, 2.0 디젤 2WD, 2.0 디젤 AWD","N 라인 인스퍼레이션, N 라인 프리미엄, 모던, 인스퍼레이션, 프리미엄"
hyundai,디 올 뉴 투싼 하이브리드,2021,2021,1.6 터보 HEV,"N 라인 인스퍼레이션, N 라인 프리미엄, 모던, 인스퍼레이션, 프리미엄"
hyundai,디 올 뉴 팰리세이드,2025,2025,"2.5 가솔린 터보 2WD 7인승, 2.5 가솔린 터보 2WD 9인승, 2.5 가솔린 터보 4WD 7인승, 2.5 가솔린 터보 4WD 9인승, 2.5 가솔린 터보 HEV 2WD 7인승, 2.5 가솔린 터보 HEV 2WD 9인승, 2.5 가솔린 터보 HEV 4WD 7인승, 2.5 가솔린 터보 HEV 4WD 9인승","익스클루시브, 캘리그래피, 프레스티지"
hyundai,맥스크루즈,2013,2015,"2.2 디젤 2WD, 2.2 디젤 4WD, 3.3 가솔린 2WD, 3.3 가솔린 4WD","익스클루시브, 익스클루시브 스페셜, 수출형"
hyundai,베뉴,2019,2025,1.6,"모던, 모던 플러스, 스마트, 프리미엄, 플럭스"
hyundai,베라크루즈,2006,2015,"3.0 디젤 2WD, 3.0 디젤 4WD, 3.8 가솔린 (수출형), 3.8 가솔린 2WD, 3.8 가솔린 4WD","VX, VX 40주년 스페셜팩, VX 럭셔리, VX 모젠팩, VX 스마트팩, VX 월드컵 스페셜 에디션, VX 프리미어, VXL, VXL 슈프림, VXL 프리미엄"
hyundai,벨로스터,2011,2015,"1.6, 1.6 터보","DCT팩, PYL, PYL DCT팩, 유니크, 익스트림, D 스펙, D 스펙 DCT, D 스펙 TUIX 레이싱, 마멀레이드 스페셜 에디션"
hyundai,벨로스터 N,2018,2021,2.0 터보,"-, 퍼포먼스팩"
hyundai,벨로스터 [JS],2018,2018,"1.4 터보, 1.6 터보","모던, 모던 코어, JBL 익스트림 사운드 에디션, 스포츠, 스포츠 코어, 익스트림 드라이빙 에디션"
hyundai,블루온,2011,2011,EV,-
hyundai,스타리아,2021,2025,"1.6 하이브리드 라운지 7인승 2WD, 1.6 하이브리드 라운지 9인승 2WD, 1.6 하이브리드 라운지 모빌리티 7인승 2WD, 1.6 하이브리드 라운지 모빌리티 9인승 2WD, 1.6 하이브리드 카고 3인승 2WD, 1.6 하이브리드 카고 5인승 2WD, 1.6 하이브리드 투어러 11인승 2WD, 1.6 하이브리드 투어러 9인승 2WD, 2.2 디젤 라운지 7인승 2WD, 2.2 디젤 라운지 7인승 4WD","리무진, 인스퍼레이션, 프레스티지, -, 모던, 스마트, 11인승, 9인승, 14인승, 특장업체"
hyundai,싼타페 더 프라임,2016,2018,"2.0 가솔린 터보 2WD, 2.0 가솔린 터보 4WD, 2.0 디젤 2WD, 2.0 디젤 4WD, 2.2 디젤 2WD, 2.2 디젤 4WD","밸류 플러스, 스마트, 프리미엄, 1 밀리언, 1 밀리언 스타일, 모던, 익스클루시브, 익스클루시브 스페셜, 1 밀리언 얼티밋"
hyundai,싼타페 더스타일,2009,2012,"2.0 디젤 2WD, 2.2 디젤 2WD, 2.2 디젤 4WD, 2.4 가솔린, 2.4 가솔린 (수출형), 2.7 LPi","CLX 디럭스, MLX 디럭스, MLX 럭셔리, MLX 스마트팩, MLX 월드컵 스페셜 에디션, MLX 프리미어, SLX 프리미엄, 프리미어, SLX 탑, 디럭스"
hyundai,싼타페CM,2005,2012,"2.0 디젤 2WD, 2.2 디젤 2WD, 2.2 디젤 4WD, 2.4 가솔린 (수출형), 2.7 LPi","CLX 고급형, CLX 디럭스, CLX 최고급형, MLX 고급형, MLX 기본형, MLX 디럭스, MLX 럭셔리, MLX 스마트팩, MLX 월드컵 스페셜 에디션, MLX 프리미어"
hyundai,싼타페DM,2012,2015,"2.0 디젤 2WD, 2.0 디젤 4WD, 2.2 디젤 2WD, 2.2 디젤 4WD, 3.3 가솔린 4WD (수출형)","모던, 스마트, 익스클루시브, 익스클루시브 스페셜, 프리미엄, -"
hyundai,싼타페TM,2018,2019,"2.0 가솔린 터보 2WD, 2.0 가솔린 터보 4WD, 2.0 디젤 2WD, 2.0 디젤 4WD, 2.2 디젤 2WD, 2.2 디젤 4WD","익스클루시브, 익스클루시브 스페셜, 인스퍼레이션, 프레스티지, 프리미엄, 모던"
hyundai,쏘나타 DN8,2019,2021,"1.6 터보, 2.0, 2.0 LPG (장애인용), 2.0 LPi, 2.0 LPi (렌터카용), 2.5 터보","모던, 스마트, 인스퍼레이션, 프리미엄, 프리미엄 밀레니얼, 프리미엄 패밀리, 프리미엄 플러스, 프리미어 밀레니얼, 스타일, N 라인 더 블랙"
hyundai,쏘나타 뉴 라이즈,2017,2021,"1.6 터보, 1.7 디젤, 2.0, 2.0 LPi, 2.0 LPi (장애인용), 2.0 LPi (택시형), 2.0 터보","마이 시티 에디션, 마이 트립 에디션, 모던, 스마트, 스타일, 프리미엄, 스마트 스페셜, 스마트 초이스, 익스트림 셀렉션, 프리미엄 스페셜"
hyundai,쏘나타 뉴 라이즈 하이브리드,2017,2018,"2.0 HEV, 2.0 PHEV","모던, 스마트, 프리미엄, 프리미엄 스페셜, 익스클루시브"
hyundai,쏘나타 더 브릴리언트,2012,2014,"2.0, 2.0 LPi, 2.0 LPi (장애인용), 2.0 LPi (택시형), 2.0 터보, 구조변경(가솔린)","모던, 블루세이버, 스마트, 스타일, 어트랙션, 프리미엄, 프리미엄 스페셜"
hyundai,쏘나타 디 엣지,2024,2026,"1.6 터보, 2.0, 2.0 LPi, 2.0 LPi (렌터카용), 2.0 LPi (장애인용), 2.5 터보","N 라인, 에스, 익스클루시브, 인스퍼레이션, 프리미엄, 비즈니스1, 비즈니스2"
hyundai,쏘나타 디 엣지 하이브리드,2024,2026,2.0 HEV,"에스, 익스클루시브, 인스퍼레이션, 프리미엄"
hyundai,쏘나타 하이브리드,2011,2015,2.0 HEV,"로얄, 모던, 수출형, 스마트, 프리미어, 프리미엄"
hyundai,쏘나타 하이브리드 [DN8],2019,2021,2.0 HEV,"모던, 스마트, 인스퍼레이션, 프리미엄, 프리미엄 밀레니얼, 프리미엄 패밀리, 프리미엄 플러스"
hyundai,쏠라티,2016,2025,"2.5 디젤 14인승, 2.5 디젤 15인승, 2.5 디젤 16인승, 2.5 디젤 2인승, 2.5 디젤 리무진, 2.5 디젤 투어, 3인승 밴, 냉장밴, 방송중계 스튜디오, 앰뷸런스","디럭스, 럭셔리, 스탠다드, -, 디럭스 3인승, 럭셔리 5인승, 럭셔리 7인승, 15인승, 23인승, 디럭스 10인승"
hyundai,아반떼 LPi 하이브리드,2009,2011,1.6 HDE,"Ⅰ기본형, Ⅰ이지팩, Ⅱ기본형, Ⅲ기본형, Ⅲ어드밴스팩"
hyundai,아반떼 N,2021,2021,2.0 터보,-
hyundai,아반떼 쿠페,2010,2015,"1.8 (수출형), 2.0","-, 스마트, 튜익스 화이트팩, 프리미엄, 프리미엄 튜익스 화이트팩"
hyundai,아반떼AD,2013,2017,"1.6, 1.6 LPi, 1.6 LPi (장애인용), 1.6 디젤, 1.6 터보 스포츠, 2.0","모던, 모던 스페셜, 밸류 플러스, 스마트, 스마트 스페셜, 스타일, 프리미엄, DCT, M/T, 오리지널"
