brand,model_name,trim_name,major_category,size_score,model_year,vehicle_age_years,color,mileage_km,price_manwon
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2021,5.67,미색,98336.0,2580
kia,스토닉,트렌디,suv,1.948052,2019,7.08,흰색,29278.0,1660
hyundai,더 뉴 아반떼 [CN7],인스퍼레이션,sedan,13.367609,2024,2.33,회색,26892.0,2420
chevrolet,더 뉴 트랙스,프리미어,suv,23.593074,2019,6.83,흰색,36849.0,1350
hyundai,베뉴,모던,suv,2.380952,2020,6.25,"파랑(남색,곤색)",49658.0,1390
kia,올 뉴 모닝 [JA],프레스티지,hatchback,22.797927,2018,7.33,흰색,80742.0,950
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2026,0.58,검정,13301.0,5490
kia,니로,프레스티지,suv,13.131313,2017,9.42,미색,151807.0,1230
renault,더 뉴 SM6,필,sedan,44.151671,2024,2.08,회색,79126.0,1600
kia,카니발 4세대,시그니처,van,92.896175,2022,3.92,미색,84435.0,2990
renault,더 뉴 QM6,LE 시그니처,suv,57.215007,2023,3.67,흰색,59001.0,1790
kgm,토레스,T7,suv,62.265512,2023,3.5,흰색,42732.0,2250
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2015,11.58,검정색,112713.0,1490
hyundai,그랜저HG,모던,sedan,61.568123,2015,10.83,흰색,67890.0,1070
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,7.5,흰색,83852.0,1190
kia,더 뉴 모닝 [JA],시그니처,hatchback,22.797927,2024,2.67,초록(연두),23232.0,1690
hyundai,그랜저IG,모던,sedan,70.694087,2019,7.58,흰색,89719.0,1620
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2020,5.83,흰색,116773.0,3990
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2021,5.67,진주색,65836.0,2700
hyundai,올 뉴 아반떼 하이브리드 [CN7],모던,sedan,11.182519,2022,4.17,쥐색,131079.0,1480
kia,스포티지 4세대,노블레스 스페셜,suv,41.269841,2016,10.42,회색,126829.0,1250
kia,카니발 4세대,프레스티지,van,44.808743,2022,4.33,미색,21466.0,2990
kia,더 뉴 쏘렌토 4세대,노블레스,suv,79.292929,2026,0.58,검정,4798.0,3660
kia,더 뉴 레이,시그니처,van,3.005464,2021,5.42,미색,64461.0,1300
kia,카니발 4세대,시그니처,van,92.896175,2021,5.25,검정,144012.0,2470
hyundai,싼타페TM,익스클루시브 스페셜,suv,70.41847,2019,7.33,회색,120729.0,1820
hyundai,그랜드스타렉스,CVX 프리미엄,van,56.010929,2015,11.08,회색,107714.0,1060
kia,더 뉴 레이,럭셔리,van,3.005464,2019,6.67,흰색,61158.0,1140
kia,더 뉴 스포티지R,프레스티지,suv,39.53824,2017,9.33,미색,120149.0,1160
kia,K5 하이브리드,500H 프레스티지,sedan,28.984576,2015,11.08,미색,162221.0,650
kia,더 뉴 K5 하이브리드 3세대,프레스티지,sedan,34.640103,2024,1.25,미색,17717.0,2750
hyundai,더 뉴 투싼,인스퍼레이션,suv,51.803752,2023,3.0,검정,77537.0,2750
hyundai,베뉴,플럭스,suv,2.741703,2022,4.5,"파랑(남색,곤색)",30250.0,1870
kia,카니발 4세대,프레스티지,van,44.808743,2021,5.08,검정색,94478.0,2530
kia,봉고3,더블캡,truck,26.829268,2018,7.75,흰색,142025.0,1150
kia,레이,디럭스,hatchback,53.367876,2015,11.42,회색,151549.0,480
hyundai,더 뉴 투싼,인스퍼레이션,suv,51.803752,2021,5.33,회색,60120.0,2550
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2015,11.83,검정,180263.0,900
hyundai,더 뉴 그랜저 하이브리드,르블랑,sedan,76.928021,2023,3.75,흰색,22303.0,3074
kia,카니발 4세대,시그니처,van,92.896175,2022,4.58,미색,110530.0,2990
hyundai,캐스퍼,디 에센셜,suv,0.721501,2024,2.25,흰색,11788.0,1690
hyundai,제네시스,프리미엄 스페셜 다이나믹 에디션,sedan,88.431877,2024,2.25,초록(연두),22448.0,7400
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2025,2.08,흰색,11897.0,6600
hyundai,싼타페 더 프라임,익스클루시브,suv,60.38961,2023,3.33,흰색,66651.0,2490
kia,올 뉴 K7,럭셔리,sedan,77.634961,2018,8.17,미색,111441.0,1290
hyundai,더 뉴 아반떼 [CN7],인스퍼레이션,sedan,13.367609,2024,2.42,회색,24697.0,2500
kia,더 뉴 스포티지R,프레스티지,suv,39.53824,2015,11.0,회색,137424.0,920
kia,모닝 어반,시그니처,hatchback,22.797927,2021,4.92,미색,20521.0,1390
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2019,6.83,흰색,126901.0,760
hyundai,디 올 뉴 코나,인스퍼레이션,suv,24.819625,2023,2.42,흰색,11360.0,2830
hyundai,올 뉴 투싼,모던,suv,37.950938,2017,9.83,흰색,140181.0,990
hyundai,캐스퍼,인스퍼레이션,suv,0.721501,2024,2.17,빨강(주홍),21484.0,1920
chevrolet,더 뉴 스파크,프리미어,hatchback,35.233161,2021,5.08,흰색,54071.0,850
kia,더 뉴 레이,럭셔리,van,3.005464,2018,7.83,미색,25783.0,1170
kia,카니발 4세대,노블레스,van,69.398907,2021,5.42,"파랑(남색,곤색)",61771.0,2790
kia,뉴모닝,LX 고급형,hatchback,2.331606,2016,10.17,미색,103438.0,690
hyundai,디 올 뉴 투싼 하이브리드,인스퍼레이션,suv,45.310245,2022,4.17,검정색,47020.0,3200
hyundai,디 올 뉴 투싼,모던,suv,48.340548,2019,7.42,흰색,87000.0,1650
hyundai,캐스퍼,인스퍼레이션,suv,0.721501,2023,3.08,회색,33754.0,1750
hyundai,그랜드스타렉스,모던,van,60.10929,2016,10.42,은색,182409.0,950
hyundai,더 뉴 그랜드스타렉스,모던,van,64.754098,2019,7.0,흰색,121396.0,1690
hyundai,올 뉴 투싼,모던,suv,37.950938,2017,9.17,회색,135658.0,1420
kgm,토레스,T7,suv,62.265512,2023,3.17,흰색,102602.0,2230
kia,더 뉴 카니발,노블레스,van,66.393443,2019,7.08,검정색,230663.0,1150
hyundai,제네시스,럭셔리,sedan,89.33162,2019,6.58,검정색,98073.0,3380
hyundai,그랜저IG,익스클루시브,sedan,72.043702,2018,8.25,흰색,110650.0,1680
kia,K5,럭셔리,sedan,27.377892,2019,7.0,미색,196670.0,850
kia,더 뉴 쏘렌토,노블레스,suv,67.676768,2018,8.5,미색,120138.0,1770
chevrolet,이쿼녹스,프리미어 익스클루시브,suv,46.681097,2020,5.25,회색,91828.0,1890
kia,더 뉴 레이,럭셔리,van,3.005464,2018,7.33,흰색,85169.0,1200
kia,모하비 더 마스터,마스터즈,suv,89.177489,2021,5.08,미색,123249.0,3000
hyundai,더 뉴 투싼,프리미엄,suv,51.803752,2022,4.08,회색,31257.0,2190
kgm,티볼리,VX,suv,15.007215,2016,10.33,흰색,92963.0,730
hyundai,제네시스,럭셔리,sedan,89.33162,2019,6.75,검정,100842.0,1990
hyundai,제네시스,럭셔리,sedan,89.33162,2018,7.75,검정,154875.0,1290
kia,K5,프레스티지,sedan,27.377892,2020,6.0,검정,69809.0,2150
kia,카니발 4세대,노블레스,van,69.398907,2023,3.08,검정,77259.0,3180
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2017,9.42,회색,94379.0,950
hyundai,디 올 뉴 싼타페,캘리그래피,suv,85.209235,2022,3.5,회색,40504.0,3590
hyundai,쏘나타 하이브리드 [DN8],인스퍼레이션,sedan,32.51928,2022,3.67,흰색,124614.0,202
kia,카니발 4세대,시그니처,van,92.896175,2021,4.67,미색,80882.0,3580
kgm,티볼리,LX,suv,15.007215,2017,9.08,미색,82400.0,790
kia,모닝 어반,,hatchback,22.797927,2021,5.0,흰색,19546.0,770
kia,더 뉴 스포티지R,트렌디,suv,39.53824,2015,11.17,흰색,118196.0,920
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2024,2.0,흰색,53700.0,4580
hyundai,코나,모던,suv,5.122655,2018,7.33,흰색,84769.0,1350
hyundai,그랜저HG,모던,sedan,61.568123,2015,11.58,흰색,287250.0,450
kia,더 뉴 모하비,VIP,suv,89.75469,2018,7.67,회색,162100.0,1650
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2024,2.17,검정,73480.0,6550
kia,더 뉴 쏘렌토 4세대 하이브리드,노블레스,suv,69.84127,2024,2.17,미색,39760.0,3990
hyundai,디 올 뉴 싼타페,캘리그래피,suv,85.209235,2024,1.67,흰색,17851.0,3750
hyundai,올 뉴 아반떼 [CN7],모던,sedan,11.568123,2021,5.08,회색,63189.0,1600
hyundai,캐스퍼,모던,suv,0.721501,2023,3.33,흰색,30514.0,1730
chevrolet,더 뉴 트랙스,LT 코어,suv,23.593074,2019,6.83,회색,93535.0,890
hyundai,디 올 뉴 그랜저 하이브리드,프리미엄,sedan,63.303342,2023,3.0,흰색,63166.0,3250
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2017,8.33,미색,65809.0,830
renault,XM3,LE,suv,27.200577,2020,5.33,회색,94313.0,1140
kia,스포티지 4세대,노블레스 플러스,suv,41.269841,2018,7.92,미색,44342.0,1790
kgm,토레스,T7,suv,62.265512,2023,3.58,흰색,76433.0,2250
kgm,렉스턴 스포츠 칸,5링크 프로페셔널 X,truck,85.365854,2019,7.08,빨강(주홍),79483.0,1790
kia,더 뉴 쏘렌토 4세대 하이브리드,시그니처,suv,69.84127,2026,0.67,미색,8572.0,5050
renault,SM3 네오,RE,sedan,20.694087,2016,9.67,회색,121533.0,400
hyundai,싼타페 더 프라임,밸류 플러스,suv,60.17316,2018,8.17,흰색,65574.0,1730
kia,더 뉴 쏘렌토,노블레스,suv,67.676768,2017,8.5,회색,170579.0,1470
kia,카니발 4세대,프레스티지,van,44.808743,2021,5.08,흰색,78395.0,2290
kia,더 뉴 카니발,노블레스 스페셜,van,66.393443,2019,7.25,미색,75021.0,1990
hyundai,그랜드스타렉스,모던,van,60.10929,2017,9.25,회색,145715.0,1190
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2016,10.5,회색,151221.0,1140
kia,더 뉴 봉고3,초장축 GLS,truck,23.780488,2022,4.83,흰색,158458.0,1190
kgm,코란도 투리스모,TX 9인승,van,35.79235,2018,8.0,흰색,122509.0,1250
kia,쏘렌토 4세대 하이브리드,그래비티,suv,68.326118,2022,4.42,미색,65796.0,3550
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2020,5.75,진주색,77761.0,930
kia,K5,럭셔리,sedan,27.377892,2019,7.75,미색,196522.0,850
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2019,6.67,미색,32098.0,1020
kgm,베리 뉴 티볼리,V3,suv,18.686869,2021,5.08,흰색,84883.0,1370
hyundai,그랜저IG,프리미엄 스페셜,sedan,64.010283,2018,7.83,검정,172217.0,1280
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,8.0,흰색,56250.0,1290
kia,카니발 4세대,시그니처,van,92.896175,2021,5.25,검정,130380.0,3250
hyundai,캐스퍼,디 에센셜,suv,0.721501,2024,2.25,흰색,53937.0,1540
hyundai,쏘나타 DN8,인스퍼레이션,sedan,32.51928,2020,6.83,흰색,95883.0,2190
hyundai,스타리아,모던,van,75.956284,2022,4.67,회색,102063.0,2250
hyundai,스타리아,모던,van,75.956284,2023,3.17,검정,109172.0,2320
kia,더 뉴 카니발,노블레스 스페셜,van,66.393443,2019,7.25,회색,151553.0,1599
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2019,7.08,검정,48151.0,980
renault,더 뉴 QM6,LE 시그니처,suv,57.215007,2022,3.92,회색,19000.0,2050
hyundai,올 뉴 아반떼 하이브리드 [CN7],모던,sedan,11.182519,2022,4.17,회색,122584.0,1430
hyundai,싼타페DM,익스클루시브 스페셜,suv,59.307359,2019,7.5,초록(연두),173889.0,1660
kia,카니발 4세대,프레스티지,van,44.808743,2022,4.33,미색,23377.0,3150
hyundai,올 뉴 아반떼 하이브리드 [CN7],모던,sedan,11.182519,2022,4.0,회색,116586.0,1390
chevrolet,올 뉴 말리부,LTZ,sedan,51.863753,2017,9.0,흰색,89290.0,950
kia,더 뉴 카니발,프레스티지,van,55.191257,2020,6.42,검정,162523.0,1590
hyundai,LF쏘나타,스마트 스페셜,sedan,53.984576,2019,7.08,,,1420
kia,더 뉴 K8,노블레스,sedan,79.820051,2025,1.5,미색,25082.0,3790
kgm,티볼리 아머,VX,suv,15.800866,2019,7.42,미색,136079.0,650
kia,카니발 4세대,시그니처,van,92.896175,2022,4.08,미색,112494.0,2880
kia,카니발 4세대,노블레스,van,69.398907,2021,5.08,미색,103910.0,2720
kia,K8 하이브리드,노블레스,sedan,62.724936,2022,4.0,미색,96540.0,2530
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2022,4.17,검정,97779.0,2520
kgm,더 뉴 렉스턴 스포츠 칸,프레스티지,truck,85.365854,2023,2.92,초록(연두),13003.0,2870
kia,더 뉴 K5,럭셔리,sedan,28.984576,2015,11.08,검정,86662.0,830
hyundai,캐스퍼,디 에센셜,suv,0.721501,2024,2.42,초록(연두),16452.0,1650
kgm,토레스,T7,suv,62.265512,2024,2.33,초록(연두),37572.0,2260
hyundai,팰리세이드,익스클루시브,suv,90.11544,2021,5.08,"파랑(남색,곤색)",102507.0,2390
chevrolet,더 넥스트 스파크,LT 플러스,hatchback,7.253886,2016,10.08,회색,154467.0,390
hyundai,올 뉴 아반떼 [CN7],인스퍼레이션,sedan,11.825193,2021,5.33,회색,109106.0,1490
kia,더 뉴 K5 3세대,시그니처,sedan,34.640103,2024,2.17,검정,28924.0,3350
hyundai,팰리세이드,프레스티지,suv,90.11544,2022,4.0,흰색,103502.0,2950
hyundai,싼타페TM,인스퍼레이션,suv,70.707071,2019,7.58,검정,132744.0,2150
chevrolet,트래버스,레드라인,suv,99.422799,2023,2.33,흰색,28831.0,3990
hyundai,싼타페TM,프레스티지,suv,70.707071,2020,5.83,흰색,112611.0,2090
kia,카니발 4세대,프레스티지,van,44.808743,2023,2.92,미색,124248.0,2380
hyundai,쏘나타 DN8,프리미엄 플러스,sedan,32.51928,2022,3.67,흰색,64091.0,2400
hyundai,스타리아,모던,van,75.956284,2022,3.67,진청색,68000.0,2680
hyundai,스타리아,모던,van,75.956284,2022,4.17,회색,43965.0,2750
hyundai,디 올 뉴 싼타페 하이브리드,캘리그래피,suv,84.487734,2024,2.0,흰색,9305.0,4450
kia,더 뉴 K5 2세대,인텔리전트,sedan,49.678663,2020,6.92,미색,64725.0,1860
kgm,G4 렉스턴,화이트 에디션,suv,93.145743,2020,5.75,흰색,70400.0,2250
hyundai,베뉴,플럭스,suv,2.741703,2025,1.08,흰색,15015.0,2260
kgm,더 뉴 렉스턴 스포츠,익스페디션,truck,0.0,2022,3.75,흰색,35796.0,2980
hyundai,팰리세이드,프레스티지,suv,90.11544,2019,7.08,흰색,41117.0,3400
kgm,더 뉴 렉스턴 스포츠 칸,프레스티지,truck,85.365854,2021,4.58,담녹색,107381.0,2280
kia,올 뉴 카니발,프레스티지,van,71.038251,2017,9.0,흰색,59846.0,1650
renault,QM6,RE 시그니처,suv,57.792208,2018,8.17,미색,99842.0,1244
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,7.5,흰색,64308.0,1330
kia,올 뉴 쏘렌토,프레스티지,suv,66.305916,2015,10.75,미색,96275.0,1250
hyundai,엑센트 (신형),모던,sedan,1.478149,2015,11.08,회색,121101.0,580
hyundai,올 뉴 아반떼 [CN7],모던,sedan,11.568123,2021,5.67,빨강(주홍),70140.0,1550
hyundai,팰리세이드,캘리그래피,suv,94.877345,2022,4.33,흰색,85177.0,2870
kia,더 뉴 기아 레이,시그니처,hatchback,53.367876,2023,3.25,흰색,8149.0,1800
kia,더 뉴 K8 하이브리드,시그니처,sedan,62.017995,2026,0.33,미색,4654.0,4790
kia,디 올 뉴 스포티지 하이브리드,시그니처,suv,47.763348,2022,4.58,회색,44666.0,3230
