title,registration_number,price_manwon,model_year,first_registration_yyyymm,color,mileage_km
[현대] 디 올뉴그랜저 하이브리드 1.6 하이브리드 캘리그래피,327로6770,4270,2023,202402,회색,22409
[기아] 더 뉴봉고Ⅲ화물 1톤 LPG 킹캡 초장축 L,826주2293,1950,2025,202411,"파랑(남색,곤색)",7947
[기아] 신형 스포티지 1.7 2WD 노블레스,33서0845,1170,2016,201603,흰색,84967
[기아] 신형 K5(DL3) 2.0 가솔린 프레스티지,354구3715,2190,2020,202009,회색,45358
[기아] 디 올뉴니로 1.6 HEV 시그니처,380러8479,2890,2022,202201,미색,26043
[현대] 아이오닉 5 EV 2WD 롱레인지 익스클루시브,55로1679,2150,2022,202201,흰색,204257
[현대] 제네시스DH G330 AWD 프리미엄,55어2457,850,2015,201407,검정,279625
[현대] 포터II 일렉트릭 카고 프리미엄 스페셜,84마1074,1790,2023,202403,흰색,74045
[현대] 포터II VGT 더블캡 초장축 프리미엄,804저3755,1950,2022,202209,흰색,57401
[현대] 더 올뉴투싼 하이브리드 1.6 HEV 2WD 인스퍼레이션,340더1254,2880,2022,202111,,
[기아] EV6 롱 레인지 2WD 에어,55로1601,2450,2022,202204,미색,149444
[현대] 더 뉴투싼 하이브리드 1.6 HEV 2WD 인스퍼레이션,187더1744,3650,2024,202408,흰색,22243
[현대] 더 올뉴투싼 1.6 터보 2WD 인스퍼레이션,189우5641,2550,2023,202211,흰색,87103
[현대] 더 뉴아반떼MD 1.6 GDi 모던,27나0425,750,2016,201508,흰색,94039
[쉐보레(대우)] 올란도 2.0 LPGi LTZ 프리미엄,41러3755,690,2015,201508,회색,115470
[기아] 더 뉴카니발 하이브리드(KA4) 1.6 HEV 7인승 노블레스 아웃도어,236수8027,4350,2025,202412,흰색,31605
[기아] K7 프리미어 3.0 LPi 렌터카 프레스티지,292보3548,2250,2020,201912,회색,57062
[기아] 더 뉴K5 하이브리드(DL3) 2.0 HEV 시그니처,148로1153,3950,2025,202504,미색,9756
[기아] 올 뉴카니발 7인승 리무진 디젤 VIP,01보2073,1590,2018,201709,검정,90012
[기아] 올 뉴카니발 하이리무진 디젤 9인승 노블레스,47가2979,1470,2016,201510,미색,175327
[제네시스] G80 3.3 GDi AWD 럭셔리,60루0641,2072,2017,201607,회색,60483
[현대] 코나 1.6 가솔린 2WD 모던 팝,61머4070,1380,2018,201804,빨강(주홍),44646
[현대] 더 뉴그랜저IG LPi 3.0 프리미엄,103도7962,2550,2023,202208,흰색,67282
[쉐보레(대우)] 더 뉴트랙스 1.4 터보 LT 코어,291구1324,1200,2020,202010,흰색,77988
[기아] 신형 카니발(KA4) 9인승 디젤 시그니처,151수5023,3050,2022,202202,검정,85333
[현대] 캐스퍼 가솔린 1.0 터보 디 에센셜,343보1170,1800,2023,202303,흰색,18795
[현대] 포터II LPG 더블캡 초장축 스마트,841모3348,2350,2025,202602,흰색,1208
[현대] 그랜드스타렉스 5인승 디젤 밴 스마트,85조6080,1130,2018,201706,회색,150027
[현대] 더 뉴코나 1.6 2WD 인스퍼레이션,193거7440,2450,2023,202301,"파랑(남색,곤색)",22118
[쉐보레(대우)] 아베오 4도어 1.4 터보 LS 고급형,23부2711,430,2015,201505,흰색,81117
[기아] 뉴 신형K5 2.0 가솔린 프레스티지,31우8095,1290,2019,201806,검정,102249
[현대] 포터II CRDi 슈퍼캡 초장축 하이슈퍼,88보9564,690,2016,201506,흰색,263222
[KG모빌리티(쌍용)] 뉴 코란도C 2.2 2WD RX 고급형,52러0745,490,2016,201512,흰색,159231
[기아] 모닝 어반 1.0 가솔린 프레스티지,112오2312,1270,2021,202006,흰색,48677
[현대] 코나 일렉트릭 EV 프리미엄,03오6915,1630,2019,201907,쥐색,146171
[기아] K8 하이브리드 HEV 노블레스,283나5453,2330,2022,202111,검정색,133493
[르노(삼성)] SM3 네오 SE,45거8991,390,2017,201612,회색,172907
[기아] 디 올뉴스포티지 하이브리드 1.6 HEV 30주년 에디션,251라7985,3870,2024,202408,미색,28659
[현대] 포터II CRDi 슈퍼캡 초장축 스마트,88보0705,1270,2017,201704,흰색,18518
[기아] 더 뉴K3 1.6 GDI 트렌디 스타일,21두2159,860,2018,201712,미색,94218
[기아] 올 뉴K7 2.4 GDi 리미티드,181소7518,1820,2018,201810,미색,51683
[현대] 포터II CRDi 슈퍼캡 초장축 스마트,88보0705,1270,2017,201704,흰색,18518
[현대] LF쏘나타 LPi 렌터카 프리미엄,02루0367,1000,2017,201611,회색,99576
[현대] 더 뉴아반떼AD 1.6 가솔린 스타일,08머2785,1500,2019,201905,흰색,47000
[기아] 봉고Ⅲ EV 카고 GLS,96누7853,2050,2023,202311,흰색,17509
[현대] 더 뉴아반떼AD 1.6 가솔린 스타일,12머4754,1370,2019,201810,회색,75300
[현대] 캐스퍼 가솔린 1.0 모던,344마1618,1650,2023,202208,흰색,62767
[현대] 팰리세이드 3.8 가솔린 AWD 캘리그래피,163머5782,3200,2022,202112,흰색,64727
[KG모빌리티(쌍용)] 더 뉴코란도 스포츠 2.2 4WD CX7 익스트림,90보0117,1220,2017,201702,흰색,143501
[기아] 신형 카니발(KA4) 하이리무진 특장 오토글로벌,202무5646,5300,2023,202304,검정색,31000
[기아] 더 뉴레이 1.0 가솔린 스탠다드,165구3086,690,2018,201804,흰색,164451
[기아] 신형쏘렌토 하이브리드(MQ4) 1.6 HEV 2WD 노블레스,147러1178,3180,2021,202102,미색,68088
[현대] 코나 1.6 가솔린 2WD 프리미엄,59거6958,1790,2018,201807,흰색,54345
[제네시스] GV80 3.0 디젤 AWD 기본형,223다3073,4946,2022,202202,흰색,62682
[기아] 더 뉴기아 레이 1.0 가솔린 프레스티지,280마1694,1720,2025,202412,흰색,9880
[쉐보레(대우)] 더 넥스트 스파크 LT 플러스,40모0590,440,2017,201606,흰색,107439
[현대] 그랜저HG 하이브리드 2.4 HEV 프리미엄,33부6943,550,2015,201407,흰색,204985
[현대] 포터II 냉동탑차 슈퍼캡 트윈컴프,83우4953,1630,2019,201905,흰색,88939
[현대] 그랜드스타렉스 어린이보호차 15인승 4WD,77오4113,1050,2017,201611,노랑,112850
[기아] 올 뉴K7 2.4 GDi 노블레스,45서3251,1950,2019,201906,미색,37003
[기아] 신형쏘렌토(MQ4) 2.2 디젤 2WD 프레스티지,376너9260,2580,2021,202007,미색,98336
[기아] 스토닉 1.4 가솔린 트렌디,23러4652,1660,2019,201902,흰색,29278
[현대] 더 뉴아반떼(CN7) 가솔린 1.6 인스퍼레이션,160더5726,2420,2024,202311,회색,26892
[쉐보레(대우)] 더 뉴트랙스 1.4 터보 프리미어,04무6251,1350,2019,201905,흰색,36849
[현대] 베뉴 1.6 가솔린 모던,333다8023,1390,2020,201912,"파랑(남색,곤색)",49658
[기아] 올 뉴모닝(JA) 가솔린 프레스티지,59어7907,950,2018,201811,흰색,80742
[제네시스] 뉴 G80 가솔린 2.5 2WD 기본형,296보1660,5490,2026,202508,검정,13301
[현대] 포터II 일렉트릭 카고 프리미엄 스페셜,96어2001,1230,2021,202110,흰색,196951
[기아] 니로 1.6 하이브리드 프레스티지,64고0217,1230,2017,201610,미색,151807
[르노(삼성)] 더 뉴SM6 2.0 LPe 필,125마4269,1600,2024,202402,회색,79126
[기아] 신형 카니발(KA4) 9인승 디젤 시그니처,156가3084,2990,2022,202204,미색,84435
[현대] 포터II LPG 더블캡 초장축 프리미엄,844주4826,1780,2024,202407,"파랑(남색,곤색)",19405
[르노(삼성)] 뉴 QM6 2.0 GDe LE 시그니처,144고7849,1790,2023,202207,흰색,59001
[KG모빌리티(쌍용)] 토레스 1.5 GDI-T 2WD T7,101나9089,2250,2023,202209,흰색,42732
[현대] 제네시스DH G330 AWD 프리미엄,38고4177,1490,2015,201408,검정색,112713
[현대] 그랜저HG HG 240 모던,18주8256,1070,2015,201505,흰색,67890
[현대] 아반떼AD 1.6 GDi 밸류 플러스,144보2831,1190,2018,201809,흰색,83852
[기아] 더 뉴모닝(JA) 1.0 가솔린 시그니처,200저5374,1690,2024,202307,초록(연두),23232
[KG모빌리티(쌍용)] 더 뉴티볼리 1.5 가솔린 터보 2WD V7,299소7396,2030,2024,202307,흰색,24805
[현대] 그랜저IG 3.0 LPi 렌터카 모던,07호5622,1620,2019,201808,흰색,89719
[제네시스] GV80 2.5 가솔린 AWD 기본형,379서2541,3990,2020,202005,흰색,116773
[현대] 아이오닉 5 EV 2WD 롱레인지 익스클루시브,42보7714,3350,2023,202210,초록(연두),10943
[기아] 신형쏘렌토(MQ4) 2.2 디젤 2WD 프레스티지,263부7530,2700,2021,202007,진주색,65836
[기아] 니로 EV 프레스티지,42보7103,1780,2022,202108,미색,126584
[현대] 아반떼 하이브리드(CN7) HEV 모던,259오4962,1480,2022,202201,쥐색,131079
[기아] 신형 스포티지 R2.0 2WD 노블레스 스페셜,29무0298,1250,2016,201510,회색,126829
[기아] 신형 카니발(KA4) 9인승 디젤 프레스티지,259오4950,2990,2022,202111,미색,21466
[기아] 더 뉴쏘렌토(MQ4) 2.5 가솔린 2WD 노블레스,285머3228,3660,2026,202508,검정,4798
[기아] 더 뉴레이 1.0 가솔린 시그니처,153노9183,1300,2021,202010,미색,64461
[현대] 포터II CRDi 더블캡 초장축 프리미엄,94소0686,1520,2018,201711,"파랑(남색,곤색)",35992
[기아] 신형 카니발(KA4) 9인승 디젤 시그니처,128너2033,2470,2021,202012,검정,144012
[현대] 신형 싼타페 2.0T GDi 2WD 익스클루시브 스페셜,50더4516,1820,2019,201811,회색,120729
[현대] 그랜드스타렉스 12인승 디젤 CVX 프리미엄,74두8233,1060,2015,201502,회색,107714
[기아] 더 뉴레이 1.0 가솔린 럭셔리,07가4518,1140,2019,201907,흰색,61158
[기아] 신형 스포티지 R2.0 2WD 프레스티지,246다3248,1160,2017,201611,미색,120149
[기아] K5 하이브리드 500h 프레스티지,19우3712,650,2015,201502,미색,162221
[기아] 더 뉴K5 하이브리드(DL3) 2.0 HEV 프레스티지,275구7052,2750,2024,202412,미색,17717
[현대] 더 올뉴투싼 1.6 터보 2WD 인스퍼레이션,330루1780,2750,2023,202303,검정,77537
[현대] 베뉴 1.6 가솔린 플럭스,313어3097,1870,2022,202109,"파랑(남색,곤색)",30250
[기아] 신형 카니발(KA4) 9인승 디젤 프레스티지,234라6744,2530,2021,202102,검정색,94478
[KG모빌리티(쌍용)] 더 뉴티볼리 1.6 가솔린 2WD V3,166루7667,2130,2025,202506,흰색,4337
[현대] 대형(중형)트럭 윙바디,89보4062,8800,2021,202010,흰색,644270
[기아] 봉고Ⅲ화물 CRDi 더블캡 초장축,88러0149,1150,2018,201806,흰색,142025
[현대] 포터II CRDi 더블캡 초장축 프리미엄,91보3495,1500,2018,201810,미색,91715
[기아] 레이 가솔린 디럭스,23소1701,480,2015,201410,회색,151549
[현대] 더 올뉴투싼 1.6 터보 2WD 인스퍼레이션,322도3066,2550,2021,202011,회색,60120
[현대] 제네시스DH G330 프리미엄,274너3446,900,2015,201405,검정,180263
[현대] 더 뉴그랜저IG 하이브리드 2.4 HEV 르블랑,108버2944,3074,2023,202206,흰색,22303
[기아] 신형 카니발(KA4) 9인승 디젤 시그니처,292누9870,2990,2022,202108,미색,110530
[쉐보레(대우)] 볼트 EV 2WD,07라8352,1840,2021,202106,흰색,82210
[현대] 캐스퍼 가솔린 1.0 터보 디 에센셜 라이트,142다5979,1690,2024,202312,흰색,11788
[현대] 코나 일렉트릭 EV 모던,07라9135,1650,2020,202009,회색,123599
[제네시스] GV80 쿠페 3.5 가솔린 AWD 기본형,155마6634,7400,2024,202312,초록(연두),22448
[제네시스] 뉴 G80 가솔린 3.5 AWD 기본형,366라5320,6600,2025,202402,흰색,11897
[현대] 더 뉴싼타페 디젤 2.2 2WD 익스클루시브,356저8064,2490,2023,202211,흰색,66651
[기아] 올 뉴K7 3.0 LPI 렌터카 럭셔리,252저1387,1290,2018,201801,미색,111441
[현대] 더 뉴아반떼(CN7) 가솔린 1.6 인스퍼레이션,229어4005,2500,2024,202310,회색,24697
[기아] 더 뉴스포티지R 디젤 R2.0 2WD 프레스티지,48조5811,920,2015,201503,회색,137424
[기아] 모닝 어반 1.0 가솔린 시그니처,361로2675,1390,2021,202104,미색,20521
[기아] 올 뉴모닝(JA) 가솔린 럭셔리,04무9075,760,2019,201905,흰색,126901
[현대] 디 올뉴코나 1.6 가솔린 터보 2WD 인스퍼레이션,224소9122,2830,2023,202310,흰색,11360
[현대] 올 뉴투싼 디젤 1.7 2WD 모던피버,43더0706,990,2017,201605,흰색,140181
[현대] 캐스퍼 가솔린 1.0 터보 인스퍼레이션,193무1472,1920,2024,202401,빨강(주홍),21484
[쉐보레(대우)] 더 뉴스파크 프리미어,277누7416,850,2021,202102,흰색,54071
[기아] 더 뉴레이 1.0 가솔린 럭셔리,10고3721,1170,2018,201805,미색,25783
[기아] 신형 카니발(KA4) 11인승 디젤 노블레스,71부4030,2790,2021,202010,"파랑(남색,곤색)",61771
[기아] 더 뉴모닝 가솔린 럭셔리,29주0181,690,2016,201601,미색,103438
[현대] 더 올뉴투싼 하이브리드 1.6 HEV 2WD 인스퍼레이션,192노1248,3200,2022,202201,검정색,47020
[현대] 아반떼(CN7) 1.6 가솔린 법인전용,224조7507,1590,2021,202012,검정,35026
[현대] 신형 투싼 2.0 디젤 2WD 모던,41마8751,1650,2019,201810,흰색,87000
[현대] 캐스퍼 가솔린 1.0 터보 인스퍼레이션,240구9426,1750,2023,202302,회색,33754
[현대] 그랜드스타렉스 5인승 디젤 밴 모던,88오2924,950,2016,201510,은색,182409
[현대] 더 뉴그랜드스타렉스 12인승 디젤 모던,75누7840,1690,2019,201903,흰색,121396
[현대] 올 뉴투싼 가솔린 1.6 터보 2WD 모던,45거8045,1420,2017,201701,회색,135658
[KG모빌리티(쌍용)] 토레스 1.5 GDI-T 2WD T7,274라1216,2230,2023,202301,흰색,102602
[현대] 포터II CRDi 더블캡 초장축 스마트,92두0551,1190,2018,201712,흰색,111352
[기아] 더 뉴카니발(YP) 9인승 디젤 노블레스,17나1979,1150,2019,201902,검정색,230663
[KG모빌리티(쌍용)] 더 뉴티볼리 1.5 가솔린 터보 2WD V5,368조9163,2200,2025,202506,흰색,2228
[제네시스] G90 3.3T AWD 럭셔리,04두7239,3380,2019,201908,검정색,98073
[현대] 그랜저IG 3.0 LPi 렌터카 익스클루시브,04고2885,1680,2018,201712,흰색,110650
[기아] 뉴 신형K5 2.0 LPI 렌터카 럭셔리,273수6392,850,2019,201903,미색,196670
[기아] 더 뉴쏘렌토 디젤 R2.2 2WD 노블레스,03로1561,1770,2018,201709,미색,120138
[쉐보레(대우)] 이쿼녹스 1.6 디젤 AWD 프리미어 익스클루시브,252조8343,1890,2020,202012,회색,91828
[기아] 더 뉴레이 1.0 가솔린 럭셔리,69구5208,1200,2018,201811,흰색,85169
[기아] 모하비 더 마스터 3.0 디젤 4WD 마스터즈,398러1821,3000,2021,202102,미색,123249
[현대] 더 올뉴투싼 1.6 터보 2WD 프리미엄,210더3371,2190,2022,202202,회색,31257
[KG모빌리티(쌍용)] 티볼리 가솔린 2WD VX,25부0312,730,2016,201511,흰색,92963
[제네시스] G80 3.3 GDi 럭셔리,179라9351,1990,2019,201906,검정,100842
[제네시스] G80 3.3 GDi AWD 럭셔리,129너7714,1290,2018,201806,검정,154875
[기아] 신형 K5(DL3) 1.6 가솔린 터보 프레스티지,150도2417,2150,2020,202003,검정,69809
[기아] 신형 카니발(KA4) 9인승 디젤 노블레스,387로2663,3180,2023,202302,검정,77259
[현대] 아반떼AD 1.6 GDi 밸류 플러스,04무0271,950,2017,201610,회색,94379
[현대] 더 뉴싼타페 가솔린 2.5 AWD 캘리그래피,289너7625,3590,2022,202209,회색,40504
[현대] 쏘나타(DN8) 하이브리드 2.0 HEV 인스퍼레이션,179라9352,202,2022,202207,흰색,124614
[기아] 신형 카니발(KA4) 하이리무진 9인승 가솔린 시그니처,253조6769,3580,2021,202107,미색,80882
[KG모빌리티(쌍용)] 티볼리 디젤 2WD LX,52나8614,790,2017,201702,미색,82400
[기아] 모닝 어반 밴,165나1786,770,2021,202103,흰색,19546
[기아] 더 뉴스포티지R 디젤 R2.0 2WD 트렌디,34조5907,920,2015,201501,흰색,118196
[제네시스] GV70 2.5T AWD 기본형,224보6267,4580,2024,202403,흰색,53700
[현대] 코나 1.6 디젤 2WD 모던,375다8931,1350,2018,201811,흰색,84769
[현대] 그랜저HG HG 240 모던,22서4943,450,2015,201408,흰색,287250
[기아] 더 뉴모하비 디젤 4WD VIP,336서7400,1650,2018,201807,회색,162100
[제네시스] 뉴 GV80 2.5 가솔린 AWD 기본형,253조9164,6550,2024,202401,검정,73480
[기아] 더 뉴쏘렌토 하이브리드(MQ4) 1.6 HEV 2WD 노블레스,212모6547,3990,2024,202401,미색,39760
[현대] 디 올뉴싼타페 가솔린 2.5 AWD 캘리그래피,201더6678,3750,2024,202407,흰색,17851
[현대] 아반떼(CN7) 1.6 가솔린 모던,106호2642,1600,2021,202102,회색,63189
[현대] 캐스퍼 가솔린 1.0 터보 모던,185로8492,1730,2023,202211,흰색,30514
[쉐보레(대우)] 더 뉴트랙스 1.4 터보 LT 코어,69서7525,890,2019,201905,회색,93535
[현대] 디 올뉴그랜저 하이브리드 1.6 하이브리드 프리미엄,179라9368,3250,2023,202303,흰색,63166
[기아] 올 뉴모닝(JA) 가솔린 럭셔리,61라1320,830,2017,201711,미색,65809
[르노(삼성)] XM3 1.6 GTe LE,149루1637,1140,2020,202011,회색,94313
[기아] 신형 스포티지 R2.0 2WD 노블레스 플러스,04로3475,1790,2018,201804,미색,44342
[KG모빌리티(쌍용)] 토레스 1.5 GDI-T 4WD T7,356저8054,2250,2023,202208,흰색,76433
[KG모빌리티(쌍용)] 렉스턴 스포츠 칸 디젤 2.2 4WD 프로페셔널 X,87고3774,1790,2019,201902,빨강(주홍),79483
[기아] 더 뉴쏘렌토 하이브리드(MQ4) 1.6 HEV 2WD 시그니처,161구1352,5050,2026,202507,미색,8572
[르노(삼성)] SM3 네오 RE,02모0475,400,2016,201607,회색,121533
[현대] 싼타페 더 프라임 디젤 R2.0 2WD 밸류플러스,09다7561,1730,2018,201801,흰색,65574
[기아] 더 뉴쏘렌토 디젤 R2.0 2WD 노블레스,396러1158,1470,2017,201709,회색,170579
[기아] 신형 카니발(KA4) 9인승 디젤 프레스티지,246로2267,2290,2021,202102,흰색,78395
[기아] 더 뉴카니발(YP) 9인승 디젤 노블레스 스페셜,46오3588,1990,2019,201812,미색,75021
[현대] 그랜드스타렉스 3인승 디젤 밴 모던,88너7546,1190,2017,201612,회색,145715
[현대] 제네시스DH G330 프리미엄,239노4291,1140,2016,201509,회색,151221
[기아] 더 뉴봉고Ⅲ화물 1톤 킹캡 초장축 GLS,802무1468,1190,2022,202105,흰색,158458
[KG모빌리티(쌍용)] 신형 코란도 투리스모 2.2 9인승 4WD TX,26고4513,1250,2018,201803,흰색,122509
[기아] 신형쏘렌토 하이브리드(MQ4) 1.6 HEV 2WD 그래비티,189로2042,3550,2022,202110,미색,65796
[기아] 올 뉴모닝(JA) 가솔린 럭셔리,387두2109,930,2020,202006,진주색,77761
[기아] 뉴 신형K5 2.0 가솔린 럭셔리,04어7347,850,2019,201806,미색,196522
[기아] 올 뉴모닝(JA) 가솔린 럭셔리,47라2602,1020,2019,201907,미색,32098
[기아] 더 뉴봉고Ⅲ화물 1톤 4WD 킹캡 장축 GL라이트,804노3966,2200,2022,202111,흰색,46510
[KG모빌리티(쌍용)] 베리 뉴 티볼리 1.5 가솔린 2WD V3,206도9867,1370,2021,202102,흰색,84883
[현대] 그랜저IG 2.4 GDi 프리미엄 스페셜,234보1987,1280,2018,201805,검정,172217
[현대] 아반떼AD 1.6 GDi 밸류 플러스,48로7171,1290,2018,201803,흰색,56250
[기아] 신형 카니발(KA4) 하이리무진 7인승 가솔린 시그니처,311나7777,3250,2021,202012,검정,130380
[현대] 캐스퍼 가솔린 1.0 디 에센셜,151가5840,1540,2024,202312,흰색,53937
[현대] 쏘나타(DN8) G2.0 인스퍼레이션,179라9318,2190,2020,201905,흰색,95883
[현대] 스타리아 2.2 디젤 카고 5인승 모던,85어5552,2250,2022,202107,회색,102063
[현대] 스타리아 2.2 디젤 카고 3인승 모던,801두1790,2320,2023,202301,검정,109172
[기아] 더 뉴카니발(YP) 9인승 디젤 노블레스 스페셜,143너5377,1599,2019,201812,회색,151553
[기아] 올 뉴모닝(JA) 가솔린 럭셔리,274너3419,980,2019,201902,검정,48151
[현대] 포터II 파워게이트 슈퍼캡,82러3273,890,2018,201805,청색,243766
[르노(삼성)] 뉴 QM6 2.0 LPe LE 시그니처,177로7569,2050,2022,202204,회색,19000
[현대] 아반떼 하이브리드(CN7) HEV 모던,273수6320,1430,2022,202201,회색,122584
[현대] 신형 싼타페 R2.0 2WD 익스클루시브 스페셜,62조6056,1660,2019,201809,초록(연두),173889
[기아] 신형 카니발(KA4) 9인승 디젤 프레스티지,264노2123,3150,2022,202111,미색,23377
[현대] 아반떼 하이브리드(CN7) HEV 모던,165나1759,1390,2022,202203,회색,116586
[현대] 아이오닉 5 EV 2WD 롱레인지 익스클루시브,07라8613,2750,2022,202109,검정,50998
[쉐보레(대우)] 올 뉴말리부 1.5 터보 LTZ,63무1132,950,2017,201703,흰색,89290
[기아] 더 뉴카니발(YP) 9인승 디젤 프레스티지,149라5451,1590,2020,201910,검정,162523
[현대] LF쏘나타 뉴라이즈 2.0 CVVL 스마트스페셜,150나1423,1420,2019,201902,,
[기아] 더 뉴K8 2.5 GDI 노블레스,386모1093,3790,2025,202409,미색,25082
[KG모빌리티(쌍용)] 티볼리 아머 1.6 디젤 VX,364어1453,650,2019,201810,미색,136079
[기아] 신형 카니발(KA4) 9인승 디젤 시그니처,179라9319,2880,2022,202202,미색,112494
[기아] 신형 카니발(KA4) 9인승 디젤 노블레스,268보7207,2720,2021,202102,미색,103910
[기아] K8 하이브리드 HEV 노블레스,179라9346,2530,2022,202203,미색,96540
[기아] 신형쏘렌토(MQ4) 2.2 디젤 2WD 프레스티지,165나1754,2520,2022,202201,검정,97779
[KG모빌리티(쌍용)] 더 뉴렉스턴 스포츠 칸 2.2 4WD 프레스티지,816거3437,2870,2023,202304,초록(연두),13003
[기아] 더 뉴K5 LPI 렌터카 럭셔리,67저1682,830,2015,201502,검정,86662
[현대] 캐스퍼 가솔린 1.0 터보 디 에센셜 라이트,284구8600,1650,2024,202310,초록(연두),16452
[KG모빌리티(쌍용)] 토레스 1.5 GDI-T 2WD T7,230러1175,2260,2024,202311,초록(연두),37572
[현대] 팰리세이드 2.2 디젤 익스클루시브,177루9543,2390,2021,202102,"파랑(남색,곤색)",102507
[쉐보레(대우)] 더 넥스트 스파크 LT 플러스,59머0619,390,2016,201602,회색,154467
[현대] 아반떼(CN7) 1.6 가솔린 인스퍼레이션,130구3998,1490,2021,202011,회색,109106
[기아] 더 뉴K5(DL3) 1.6 가솔린 터보 시그니처,274두5467,3350,2024,202401,검정,28924
[현대] 팰리세이드 2.2 디젤 프레스티지,169노2849,2950,2022,202203,흰색,103502
[현대] 신형 싼타페 R2.0 2WD 인스퍼레이션,23러1894,2150,2019,201808,검정,132744
[쉐보레(대우)] 신형 트래버스 3.6 가솔린 레드라인,221두3958,3990,2023,202311,흰색,28831
[현대] 신형 싼타페 R2.0 2WD 프레스티지,123버4787,2090,2020,202005,흰색,112611
[기아] 신형 카니발(KA4) 9인승 디젤 프레스티지,113오4770,2380,2023,202304,미색,124248
[현대] 쏘나타(DN8) 1.6 터보 프리미엄 플러스,308두9387,2400,2022,202207,흰색,64091
[현대] 스타리아 2.2 디젤 카고 3인승 모던,842구7745,2680,2022,202207,진청색,68000
[현대] 스타리아 2.2 디젤 투어러 11인승 2WD 모던,713구3772,2750,2022,202201,회색,43965
[현대] 디 올뉴싼타페 하이브리드 1.6 HEV 2WD 캘리그래피,305가3259,4450,2024,202403,흰색,9305
[기아] 뉴 신형K5 2.0 가솔린 인텔리전트,38나1061,1860,2020,201904,미색,64725
[KG모빌리티(쌍용)] G4 렉스턴 2.2 4WD 화이트 에디션,275더6423,2250,2020,202006,흰색,70400
[현대] 베뉴 1.6 가솔린 플럭스,186부2805,2260,2025,202502,흰색,15015
[현대] 포터II LPG 더블캡 초장축 스마트,824우9329,1750,2024,202403,"파랑(남색,곤색)",10000
[KG모빌리티(쌍용)] 더 뉴렉스턴 스포츠 2.2 4WD 익스페디션,810다1804,2980,2022,202206,흰색,35796
[현대] 팰리세이드 2.2 디젤 AWD 프레스티지,302노2622,3400,2019,201902,흰색,41117
[KG모빌리티(쌍용)] 더 뉴렉스턴 스포츠 칸 2.2 4WD 프레스티지,93무2957,2280,2021,202108,담녹색,107381
[기아] 올 뉴카니발 9인승 디젤 프레스티지,274너3443,1650,2017,201703,흰색,59846
[르노(삼성)] QM6 2.0 dCi 2WD RE 시그니처,33어8733,1244,2018,201801,미색,99842
[현대] 아반떼AD 1.6 GDi 밸류 플러스,62너8926,1330,2018,201809,흰색,64308
