title,registration_number,price_manwon,model_year,first_registration_yyyymm,color,mileage_km
[현대] 캐스퍼 가솔린 1.0 터보 디 에센셜,197무2382,1780,2023,202304,초록(연두),5770
[기아] 올 뉴모닝(JA) 가솔린 프레스티지,40라4132,890,2018,201801,검정색,46161
[KG모빌리티(쌍용)] 코란도 스포츠 CX7 4WD 클럽,89모5254,390,2015,201411,회색,250598
[현대] 포터II VGT 슈퍼캡 초장축 프리미엄,800루4052,1780,2023,202301,흰색,121007
[현대] 제네시스DH G330 AWD,393더8091,990,2016,201603,,
[현대] 코나 1.6 가솔린 2WD 모던 팝,197수6512,1150,2018,201708,"파랑(남색,곤색)",140663
[현대] 아반떼AD 1.6 GDi 밸류 플러스,65부3436,970,2018,201709,흰색,117863
[현대] 더 뉴그랜저IG 하이브리드 2.4 HEV 르블랑,112거7859,2580,2023,202210,흰색,121544
[현대] 포터II LPG 슈퍼캡 초장축 스타일,810나8728,1780,2024,202410,"파랑(남색,곤색)",2723
[현대] 캐스퍼 가솔린 1.0 터보 인스퍼레이션,155무5660,1850,2024,202412,카키색,9082
[KG모빌리티(쌍용)] 코란도 스포츠 CX7 4WD 어드벤처 에디션,87수9281,880,2015,201411,흰색,130410
[KG모빌리티(쌍용)] 티볼리 가솔린 2WD LX 최고급형,11수9527,950,2015,201506,"파랑(남색,곤색)",101971
[기아] 더 뉴모닝 가솔린 디럭스,50보5414,680,2016,201609,미색,67086
[KG모빌리티(쌍용)] 베리 뉴 티볼리 1.6 디젤 2WD V3,169로4387,1280,2020,201911,흰색,112139
[르노(삼성)] SM3 네오 PE,40수4835,350,2016,201507,흰색,118137
[기아] 신형 카니발(KA4) 7인승 가솔린 시그니처,379누7417,3050,2022,202111,검정투톤,69811
[현대] 더 뉴그랜드스타렉스 어린이보호차 12인승 4WD,70보5660,1940,2021,202012,노랑,29854
[KG모빌리티(쌍용)] 베리 뉴 티볼리 1.5 가솔린 2WD V3,394가5765,1440,2020,201911,흰색,30625
[기아] 더 뉴셀토스 1.6 가솔린 터보 2WD 시그니처,161루2659,2400,2023,202208,미색,73475
[르노(삼성)] QM3 RE,30소0841,750,2016,201603,미색,93680
[현대] 아반떼AD 1.6 GDi 밸류 플러스,06두2770,1380,2018,201807,흰색,39960
[르노(삼성)] SM3 네오 LE 아트컬렉션II,17누1044,390,2016,201508,회색,134967
[현대] 제네시스 쿠페 200 터보 S,382마7811,1080,2016,201602,흰색,141104
[현대] 베뉴 1.6 가솔린 모던 플러스,340무7387,1590,2022,202203,흰색,87604
[기아] 디 올뉴스포티지 1.6 가솔린 2WD 노블레스,261버6163,2590,2022,202111,흰색,64447
