brand,model_name,class_name,major_category,size_score,source_row_count
hyundai,쏠라티,럭셔리 4인승,bus,0.000000,1
hyundai,쏠라티,-,bus,50.000000,5
hyundai,쏠라티,15인승,bus,50.000000,1
hyundai,쏠라티,23인승,bus,50.000000,1
hyundai,쏠라티,디럭스,bus,50.000000,4
hyundai,쏠라티,럭셔리,bus,50.000000,2
hyundai,쏠라티,스탠다드,bus,50.000000,2
hyundai,뉴 카운티,25인승 골드,bus,100.000000,1
chevrolet,콜벳,-,coupe_convertible,0.000000,1
kia,포르테 쿱,기본형,coupe_convertible,4.545455,1
kia,포르테 쿱,럭셔리,coupe_convertible,4.545455,2
kia,포르테 쿱,고급형,coupe_convertible,12.121212,2
kia,포르테 쿱,고급형 레드프리미엄,coupe_convertible,12.121212,2
kia,포르테 쿱,프레스티지,coupe_convertible,12.121212,4
kia,K3 쿱,노블레스,coupe_convertible,27.272727,2
kia,K3 쿱,럭셔리,coupe_convertible,27.272727,2
kia,K3 쿱,트렌디,coupe_convertible,27.272727,1
kia,K3 쿱,프레스티지,coupe_convertible,27.272727,4
kia,더 뉴 K3 쿱,노블레스,coupe_convertible,27.272727,2
kia,더 뉴 K3 쿱,럭셔리,coupe_convertible,27.272727,2
kia,더 뉴 K3 쿱,프레스티지,coupe_convertible,27.272727,2
hyundai,아반떼 쿠페,스마트,coupe_convertible,43.939394,3
hyundai,아반떼 쿠페,튜익스 화이트팩,coupe_convertible,43.939394,2
hyundai,아반떼 쿠페,프리미엄,coupe_convertible,43.939394,3
hyundai,아반떼 쿠페,프리미엄 튜익스 화이트팩,coupe_convertible,43.939394,1
hyundai,더 뉴 제네시스 쿠페,D,coupe_convertible,59.090909,3
hyundai,더 뉴 제네시스 쿠페,S,coupe_convertible,59.090909,3
hyundai,제네시스 쿠페,D,coupe_convertible,59.090909,2
hyundai,제네시스 쿠페,P,coupe_convertible,59.090909,2
hyundai,제네시스 쿠페,R,coupe_convertible,59.090909,2
hyundai,제네시스 쿠페,RW,coupe_convertible,59.090909,2
hyundai,더 뉴 제네시스 쿠페,GT P,coupe_convertible,75.757576,1
hyundai,더 뉴 제네시스 쿠페,GT R,coupe_convertible,75.757576,3
hyundai,제네시스 쿠페,GT P,coupe_convertible,75.757576,2
hyundai,제네시스 쿠페,GT R,coupe_convertible,75.757576,2
hyundai,제네시스 쿠페,GT RW,coupe_convertible,75.757576,2
chevrolet,더 뉴 카마로 SS,-,coupe_convertible,89.393939,1
chevrolet,더 뉴 카마로 SS,볼케이노 레드,coupe_convertible,89.393939,1
chevrolet,올 뉴 카마로 SS,-,coupe_convertible,89.393939,2
chevrolet,올 뉴 카마로 SS,볼케이노 레드,coupe_convertible,89.393939,1
chevrolet,카마로,-,coupe_convertible,96.969697,4
chevrolet,카마로,RS,coupe_convertible,100.000000,1
hyundai,더 뉴 i30,수출형,hatchback,0.000000,1
kia,뉴모닝,L,hatchback,2.331606,3
kia,뉴모닝,LX 고급형,hatchback,2.331606,1
kia,뉴모닝,LX 고급형 블랙프리미엄,hatchback,2.331606,1
kia,뉴모닝,LX 기본형,hatchback,2.331606,1
kia,뉴모닝,SLX 고급형,hatchback,2.331606,1
kia,뉴모닝,SLX 고급형 블랙 프리미엄,hatchback,2.331606,1
kia,뉴모닝,SLX 뷰티,hatchback,2.331606,1
kia,뉴모닝,SLX 뷰티 블랙 프리미엄,hatchback,2.331606,1
chevrolet,더 넥스트 스파크,LS,hatchback,7.253886,1
chevrolet,더 넥스트 스파크,LS 베이직,hatchback,7.253886,2
chevrolet,더 넥스트 스파크,LT,hatchback,7.253886,1
chevrolet,더 넥스트 스파크,LT 플러스,hatchback,7.253886,3
chevrolet,더 넥스트 스파크,LTZ,hatchback,7.253886,3
chevrolet,더 넥스트 스파크,스페셜 에디션 패션,hatchback,7.253886,3
chevrolet,더 넥스트 스파크,스페셜 에디션 퍼펙트 블랙,hatchback,7.253886,2
chevrolet,더 넥스트 스파크,에코 LS,hatchback,7.253886,2
chevrolet,더 넥스트 스파크,에코 LS 베이직,hatchback,7.253886,3
chevrolet,더 넥스트 스파크,에코 LT 플러스,hatchback,7.253886,3
chevrolet,더 넥스트 스파크,에코 LTZ,hatchback,7.253886,3
kia,뉴모닝,LX 기본형 블랙프리미엄,hatchback,10.362694,6
kia,뉴모닝,LX 스페셜,hatchback,11.139896,2
kia,뉴모닝,SLX 스페셜,hatchback,11.139896,2
kia,뉴모닝,SLX 고급형 블랙프리미엄,hatchback,11.917098,3
