brand,model_name,trim_name,major_category,size_score,model_year,vehicle_age_years,color,mileage_km,price_manwon,price_manwon_log1p
kia,올 뉴 K7,리미티드,sedan,72.686375,2018,7.42,미색,51683.0,1820,7.507141
hyundai,LF쏘나타,프리미엄,sedan,57.647815,2017,9.33,회색,99576.0,1000,6.908755
hyundai,더 뉴 아반떼AD,스타일,sedan,12.14653,2019,6.83,흰색,47000.0,1500,7.313887
hyundai,더 뉴 아반떼AD,스타일,sedan,12.14653,2019,7.42,회색,75300.0,1370,7.223296
hyundai,캐스퍼,모던,suv,0.721501,2023,3.58,흰색,62767.0,1650,7.409136
hyundai,팰리세이드,캘리그래피,suv,94.877345,2022,4.25,흰색,64727.0,3200,8.071219
kgm,더 뉴 코란도 스포츠,익스트림,truck,42.073171,2017,9.08,흰색,143501.0,1220,7.107425
kia,올 뉴 카니발,,van,66.393443,2023,2.92,검정색,31000.0,5300,8.575651
kia,더 뉴 레이,스탠다드,van,3.005464,2018,7.92,흰색,164451.0,690,6.53814
kia,쏘렌토 4세대 하이브리드,노블레스,suv,68.326118,2021,5.08,미색,68088.0,3180,8.064951
hyundai,코나,프리미엄,suv,6.709957,2018,7.67,흰색,54345.0,1790,7.490529
hyundai,제네시스,프리미엄 스페셜 다이나믹 에디션,sedan,88.431877,2022,4.08,흰색,62682.0,4946,8.506537
kia,더 뉴 기아 레이,프레스티지,hatchback,53.367876,2025,1.25,흰색,9880.0,1720,7.450661
chevrolet,더 넥스트 스파크,LT 플러스,hatchback,7.253886,2017,9.75,흰색,107439.0,440,6.089045
hyundai,그랜저HG 하이브리드,프리미엄,sedan,60.539846,2015,11.67,흰색,204985.0,550,6.311735
kia,올 뉴 K7,노블레스,sedan,77.634961,2019,6.75,미색,37003.0,1950,7.576097
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2021,5.67,미색,98336.0,2580,7.855932
kia,스토닉,트렌디,suv,1.948052,2019,7.08,흰색,29278.0,1660,7.415175
hyundai,더 뉴 아반떼 [CN7],인스퍼레이션,sedan,13.367609,2024,2.33,회색,26892.0,2420,7.791936
chevrolet,더 뉴 트랙스,프리미어,suv,23.593074,2019,6.83,흰색,36849.0,1350,7.2086
hyundai,베뉴,모던,suv,2.380952,2020,6.25,"파랑(남색,곤색)",49658.0,1390,7.237778
kia,올 뉴 모닝 [JA],프레스티지,hatchback,22.797927,2018,7.33,흰색,80742.0,950,6.857514
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2026,0.58,검정,13301.0,5490,8.610866
kia,니로,프레스티지,suv,13.131313,2017,9.42,미색,151807.0,1230,7.115582
renault,더 뉴 SM6,필,sedan,44.151671,2024,2.08,회색,79126.0,1600,7.378384
kia,카니발 4세대,시그니처,van,92.896175,2022,3.92,미색,84435.0,2990,8.003363
renault,더 뉴 QM6,LE 시그니처,suv,57.215007,2023,3.67,흰색,59001.0,1790,7.490529
kgm,토레스,T7,suv,62.265512,2023,3.5,흰색,42732.0,2250,7.71913
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2015,11.58,검정색,112713.0,1490,7.307202
hyundai,그랜저HG,모던,sedan,61.568123,2015,10.83,흰색,67890.0,1070,6.976348
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,7.5,흰색,83852.0,1190,7.082549
kia,더 뉴 모닝 [JA],시그니처,hatchback,22.797927,2024,2.67,초록(연두),23232.0,1690,7.433075
hyundai,그랜저IG,모던,sedan,70.694087,2019,7.58,흰색,89719.0,1620,7.390799
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2020,5.83,흰색,116773.0,3990,8.291797
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2021,5.67,진주색,65836.0,2700,7.901377
hyundai,올 뉴 아반떼 하이브리드 [CN7],모던,sedan,11.182519,2022,4.17,쥐색,131079.0,1480,7.300473
kia,스포티지 4세대,노블레스 스페셜,suv,41.269841,2016,10.42,회색,126829.0,1250,7.131699
kia,카니발 4세대,프레스티지,van,44.808743,2022,4.33,미색,21466.0,2990,8.003363
kia,더 뉴 쏘렌토 4세대,노블레스,suv,79.292929,2026,0.58,검정,4798.0,3660,8.205492
kia,더 뉴 레이,시그니처,van,3.005464,2021,5.42,미색,64461.0,1300,7.170888
kia,카니발 4세대,시그니처,van,92.896175,2021,5.25,검정,144012.0,2470,7.812378
hyundai,싼타페TM,익스클루시브 스페셜,suv,70.41847,2019,7.33,회색,120729.0,1820,7.507141
hyundai,그랜드스타렉스,CVX 프리미엄,van,56.010929,2015,11.08,회색,107714.0,1060,6.966967
kia,더 뉴 레이,럭셔리,van,3.005464,2019,6.67,흰색,61158.0,1140,7.03966
kia,더 뉴 스포티지R,프레스티지,suv,39.53824,2017,9.33,미색,120149.0,1160,7.057037
kia,K5 하이브리드,500H 프레스티지,sedan,28.984576,2015,11.08,미색,162221.0,650,6.47851
kia,더 뉴 K5 하이브리드 3세대,프레스티지,sedan,34.640103,2024,1.25,미색,17717.0,2750,7.91972
hyundai,더 뉴 투싼,인스퍼레이션,suv,51.803752,2023,3.0,검정,77537.0,2750,7.91972
hyundai,베뉴,플럭스,suv,2.741703,2022,4.5,"파랑(남색,곤색)",30250.0,1870,7.534228
kia,카니발 4세대,프레스티지,van,44.808743,2021,5.08,검정색,94478.0,2530,7.83637
kia,봉고3,더블캡,truck,26.829268,2018,7.75,흰색,142025.0,1150,7.048386
kia,레이,디럭스,hatchback,53.367876,2015,11.42,회색,151549.0,480,6.175867
hyundai,더 뉴 투싼,인스퍼레이션,suv,51.803752,2021,5.33,회색,60120.0,2550,7.844241
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2015,11.83,검정,180263.0,900,6.803505
hyundai,더 뉴 그랜저 하이브리드,르블랑,sedan,76.928021,2023,3.75,흰색,22303.0,3074,8.03106
kia,카니발 4세대,시그니처,van,92.896175,2022,4.58,미색,110530.0,2990,8.003363
hyundai,캐스퍼,디 에센셜,suv,0.721501,2024,2.25,흰색,11788.0,1690,7.433075
hyundai,제네시스,프리미엄 스페셜 다이나믹 에디션,sedan,88.431877,2024,2.25,초록(연두),22448.0,7400,8.90937
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2025,2.08,흰색,11897.0,6600,8.794976
hyundai,싼타페 더 프라임,익스클루시브,suv,60.38961,2023,3.33,흰색,66651.0,2490,7.82044
kia,올 뉴 K7,럭셔리,sedan,77.634961,2018,8.17,미색,111441.0,1290,7.163172
hyundai,더 뉴 아반떼 [CN7],인스퍼레이션,sedan,13.367609,2024,2.42,회색,24697.0,2500,7.824446
kia,더 뉴 스포티지R,프레스티지,suv,39.53824,2015,11.0,회색,137424.0,920,6.82546
kia,모닝 어반,시그니처,hatchback,22.797927,2021,4.92,미색,20521.0,1390,7.237778
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2019,6.83,흰색,126901.0,760,6.634633
hyundai,디 올 뉴 코나,인스퍼레이션,suv,24.819625,2023,2.42,흰색,11360.0,2830,7.948385
hyundai,올 뉴 투싼,모던,suv,37.950938,2017,9.83,흰색,140181.0,990,6.898715
hyundai,캐스퍼,인스퍼레이션,suv,0.721501,2024,2.17,빨강(주홍),21484.0,1920,7.560601
chevrolet,더 뉴 스파크,프리미어,hatchback,35.233161,2021,5.08,흰색,54071.0,850,6.746412
kia,더 뉴 레이,럭셔리,van,3.005464,2018,7.83,미색,25783.0,1170,7.065613
kia,카니발 4세대,노블레스,van,69.398907,2021,5.42,"파랑(남색,곤색)",61771.0,2790,7.934155
kia,뉴모닝,LX 고급형,hatchback,2.331606,2016,10.17,미색,103438.0,690,6.53814
hyundai,디 올 뉴 투싼 하이브리드,인스퍼레이션,suv,45.310245,2022,4.17,검정색,47020.0,3200,8.071219
hyundai,디 올 뉴 투싼,모던,suv,48.340548,2019,7.42,흰색,87000.0,1650,7.409136
hyundai,캐스퍼,인스퍼레이션,suv,0.721501,2023,3.08,회색,33754.0,1750,7.467942
hyundai,그랜드스타렉스,모던,van,60.10929,2016,10.42,은색,182409.0,950,6.857514
hyundai,더 뉴 그랜드스타렉스,모던,van,64.754098,2019,7.0,흰색,121396.0,1690,7.433075
hyundai,올 뉴 투싼,모던,suv,37.950938,2017,9.17,회색,135658.0,1420,7.259116
kgm,토레스,T7,suv,62.265512,2023,3.17,흰색,102602.0,2230,7.710205
kia,더 뉴 카니발,노블레스,van,66.393443,2019,7.08,검정색,230663.0,1150,7.048386
hyundai,제네시스,럭셔리,sedan,89.33162,2019,6.58,검정색,98073.0,3380,8.125927
hyundai,그랜저IG,익스클루시브,sedan,72.043702,2018,8.25,흰색,110650.0,1680,7.427144
kia,K5,럭셔리,sedan,27.377892,2019,7.0,미색,196670.0,850,6.746412
kia,더 뉴 쏘렌토,노블레스,suv,67.676768,2018,8.5,미색,120138.0,1770,7.4793
chevrolet,이쿼녹스,프리미어 익스클루시브,suv,46.681097,2020,5.25,회색,91828.0,1890,7.544861
kia,더 뉴 레이,럭셔리,van,3.005464,2018,7.33,흰색,85169.0,1200,7.09091
kia,모하비 더 마스터,마스터즈,suv,89.177489,2021,5.08,미색,123249.0,3000,8.006701
hyundai,더 뉴 투싼,프리미엄,suv,51.803752,2022,4.08,회색,31257.0,2190,7.692113
kgm,티볼리,VX,suv,15.007215,2016,10.33,흰색,92963.0,730,6.594413
hyundai,제네시스,럭셔리,sedan,89.33162,2019,6.75,검정,100842.0,1990,7.596392
hyundai,제네시스,럭셔리,sedan,89.33162,2018,7.75,검정,154875.0,1290,7.163172
kia,K5,프레스티지,sedan,27.377892,2020,6.0,검정,69809.0,2150,7.673688
kia,카니발 4세대,노블레스,van,69.398907,2023,3.08,검정,77259.0,3180,8.064951
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2017,9.42,회색,94379.0,950,6.857514
hyundai,디 올 뉴 싼타페,캘리그래피,suv,85.209235,2022,3.5,회색,40504.0,3590,8.186186
hyundai,쏘나타 하이브리드 [DN8],인스퍼레이션,sedan,32.51928,2022,3.67,흰색,124614.0,202,5.313206
kia,카니발 4세대,시그니처,van,92.896175,2021,4.67,미색,80882.0,3580,8.183397
kgm,티볼리,LX,suv,15.007215,2017,9.08,미색,82400.0,790,6.673298
kia,모닝 어반,,hatchback,22.797927,2021,5.0,흰색,19546.0,770,6.647688
kia,더 뉴 스포티지R,트렌디,suv,39.53824,2015,11.17,흰색,118196.0,920,6.82546
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2024,2.0,흰색,53700.0,4580,8.429673
hyundai,코나,모던,suv,5.122655,2018,7.33,흰색,84769.0,1350,7.2086
hyundai,그랜저HG,모던,sedan,61.568123,2015,11.58,흰색,287250.0,450,6.111467
kia,더 뉴 모하비,VIP,suv,89.75469,2018,7.67,회색,162100.0,1650,7.409136
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2024,2.17,검정,73480.0,6550,8.787373
kia,더 뉴 쏘렌토 4세대 하이브리드,노블레스,suv,69.84127,2024,2.17,미색,39760.0,3990,8.291797
hyundai,디 올 뉴 싼타페,캘리그래피,suv,85.209235,2024,1.67,흰색,17851.0,3750,8.229778
hyundai,올 뉴 아반떼 [CN7],모던,sedan,11.568123,2021,5.08,회색,63189.0,1600,7.378384
hyundai,캐스퍼,모던,suv,0.721501,2023,3.33,흰색,30514.0,1730,7.456455
chevrolet,더 뉴 트랙스,LT 코어,suv,23.593074,2019,6.83,회색,93535.0,890,6.792344
hyundai,디 올 뉴 그랜저 하이브리드,프리미엄,sedan,63.303342,2023,3.0,흰색,63166.0,3250,8.086718
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2017,8.33,미색,65809.0,830,6.72263
renault,XM3,LE,suv,27.200577,2020,5.33,회색,94313.0,1140,7.03966
kia,스포티지 4세대,노블레스 플러스,suv,41.269841,2018,7.92,미색,44342.0,1790,7.490529
kgm,토레스,T7,suv,62.265512,2023,3.58,흰색,76433.0,2250,7.71913
kgm,렉스턴 스포츠 칸,5링크 프로페셔널 X,truck,85.365854,2019,7.08,빨강(주홍),79483.0,1790,7.490529
kia,더 뉴 쏘렌토 4세대 하이브리드,시그니처,suv,69.84127,2026,0.67,미색,8572.0,5050,8.527342
renault,SM3 네오,RE,sedan,20.694087,2016,9.67,회색,121533.0,400,5.993961
hyundai,싼타페 더 프라임,밸류 플러스,suv,60.17316,2018,8.17,흰색,65574.0,1730,7.456455
kia,더 뉴 쏘렌토,노블레스,suv,67.676768,2017,8.5,회색,170579.0,1470,7.293698
kia,카니발 4세대,프레스티지,van,44.808743,2021,5.08,흰색,78395.0,2290,7.736744
kia,더 뉴 카니발,노블레스 스페셜,van,66.393443,2019,7.25,미색,75021.0,1990,7.596392
hyundai,그랜드스타렉스,모던,van,60.10929,2017,9.25,회색,145715.0,1190,7.082549
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2016,10.5,회색,151221.0,1140,7.03966
kia,더 뉴 봉고3,초장축 GLS,truck,23.780488,2022,4.83,흰색,158458.0,1190,7.082549
kgm,코란도 투리스모,TX 9인승,van,35.79235,2018,8.0,흰색,122509.0,1250,7.131699
kia,쏘렌토 4세대 하이브리드,그래비티,suv,68.326118,2022,4.42,미색,65796.0,3550,8.174985
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2020,5.75,진주색,77761.0,930,6.836259
kia,K5,럭셔리,sedan,27.377892,2019,7.75,미색,196522.0,850,6.746412
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2019,6.67,미색,32098.0,1020,6.928538
kgm,베리 뉴 티볼리,V3,suv,18.686869,2021,5.08,흰색,84883.0,1370,7.223296
hyundai,그랜저IG,프리미엄 스페셜,sedan,64.010283,2018,7.83,검정,172217.0,1280,7.155396
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,8.0,흰색,56250.0,1290,7.163172
kia,카니발 4세대,시그니처,van,92.896175,2021,5.25,검정,130380.0,3250,8.086718
hyundai,캐스퍼,디 에센셜,suv,0.721501,2024,2.25,흰색,53937.0,1540,7.340187
hyundai,쏘나타 DN8,인스퍼레이션,sedan,32.51928,2020,6.83,흰색,95883.0,2190,7.692113
hyundai,스타리아,모던,van,75.956284,2022,4.67,회색,102063.0,2250,7.71913
hyundai,스타리아,모던,van,75.956284,2023,3.17,검정,109172.0,2320,7.749753
kia,더 뉴 카니발,노블레스 스페셜,van,66.393443,2019,7.25,회색,151553.0,1599,7.377759
kia,올 뉴 모닝 [JA],럭셔리,hatchback,22.797927,2019,7.08,검정,48151.0,980,6.888572
renault,더 뉴 QM6,LE 시그니처,suv,57.215007,2022,3.92,회색,19000.0,2050,7.626083
hyundai,올 뉴 아반떼 하이브리드 [CN7],모던,sedan,11.182519,2022,4.17,회색,122584.0,1430,7.266129
hyundai,싼타페DM,익스클루시브 스페셜,suv,59.307359,2019,7.5,초록(연두),173889.0,1660,7.415175
kia,카니발 4세대,프레스티지,van,44.808743,2022,4.33,미색,23377.0,3150,8.055475
hyundai,올 뉴 아반떼 하이브리드 [CN7],모던,sedan,11.182519,2022,4.0,회색,116586.0,1390,7.237778
chevrolet,올 뉴 말리부,LTZ,sedan,51.863753,2017,9.0,흰색,89290.0,950,6.857514
kia,더 뉴 카니발,프레스티지,van,55.191257,2020,6.42,검정,162523.0,1590,7.372118
hyundai,LF쏘나타,스마트 스페셜,sedan,53.984576,2019,7.08,,,1420,7.259116
kia,더 뉴 K8,노블레스,sedan,79.820051,2025,1.5,미색,25082.0,3790,8.240385
kgm,티볼리 아머,VX,suv,15.800866,2019,7.42,미색,136079.0,650,6.47851
kia,카니발 4세대,시그니처,van,92.896175,2022,4.08,미색,112494.0,2880,7.965893
kia,카니발 4세대,노블레스,van,69.398907,2021,5.08,미색,103910.0,2720,7.908755
kia,K8 하이브리드,노블레스,sedan,62.724936,2022,4.0,미색,96540.0,2530,7.83637
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2022,4.17,검정,97779.0,2520,7.832411
kgm,더 뉴 렉스턴 스포츠 칸,프레스티지,truck,85.365854,2023,2.92,초록(연두),13003.0,2870,7.962416
kia,더 뉴 K5,럭셔리,sedan,28.984576,2015,11.08,검정,86662.0,830,6.72263
hyundai,캐스퍼,디 에센셜,suv,0.721501,2024,2.42,초록(연두),16452.0,1650,7.409136
kgm,토레스,T7,suv,62.265512,2024,2.33,초록(연두),37572.0,2260,7.723562
hyundai,팰리세이드,익스클루시브,suv,90.11544,2021,5.08,"파랑(남색,곤색)",102507.0,2390,7.779467
chevrolet,더 넥스트 스파크,LT 플러스,hatchback,7.253886,2016,10.08,회색,154467.0,390,5.968708
hyundai,올 뉴 아반떼 [CN7],인스퍼레이션,sedan,11.825193,2021,5.33,회색,109106.0,1490,7.307202
kia,더 뉴 K5 3세대,시그니처,sedan,34.640103,2024,2.17,검정,28924.0,3350,8.117014
hyundai,팰리세이드,프레스티지,suv,90.11544,2022,4.0,흰색,103502.0,2950,7.989899
hyundai,싼타페TM,인스퍼레이션,suv,70.707071,2019,7.58,검정,132744.0,2150,7.673688
chevrolet,트래버스,레드라인,suv,99.422799,2023,2.33,흰색,28831.0,3990,8.291797
hyundai,싼타페TM,프레스티지,suv,70.707071,2020,5.83,흰색,112611.0,2090,7.645398
kia,카니발 4세대,프레스티지,van,44.808743,2023,2.92,미색,124248.0,2380,7.775276
hyundai,쏘나타 DN8,프리미엄 플러스,sedan,32.51928,2022,3.67,흰색,64091.0,2400,7.783641
hyundai,스타리아,모던,van,75.956284,2022,3.67,진청색,68000.0,2680,7.893945
hyundai,스타리아,모던,van,75.956284,2022,4.17,회색,43965.0,2750,7.91972
hyundai,디 올 뉴 싼타페 하이브리드,캘리그래피,suv,84.487734,2024,2.0,흰색,9305.0,4450,8.400884
kia,더 뉴 K5 2세대,인텔리전트,sedan,49.678663,2020,6.92,미색,64725.0,1860,7.528869
kgm,G4 렉스턴,화이트 에디션,suv,93.145743,2020,5.75,흰색,70400.0,2250,7.71913
hyundai,베뉴,플럭스,suv,2.741703,2025,1.08,흰색,15015.0,2260,7.723562
kgm,더 뉴 렉스턴 스포츠,익스페디션,truck,0.0,2022,3.75,흰색,35796.0,2980,8.000014
hyundai,팰리세이드,프레스티지,suv,90.11544,2019,7.08,흰색,41117.0,3400,8.131825
kgm,더 뉴 렉스턴 스포츠 칸,프레스티지,truck,85.365854,2021,4.58,담녹색,107381.0,2280,7.732369
kia,올 뉴 카니발,프레스티지,van,71.038251,2017,9.0,흰색,59846.0,1650,7.409136
renault,QM6,RE 시그니처,suv,57.792208,2018,8.17,미색,99842.0,1244,7.126891
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,7.5,흰색,64308.0,1330,7.193686
kia,올 뉴 쏘렌토,프레스티지,suv,66.305916,2015,10.75,미색,96275.0,1250,7.131699
hyundai,엑센트 (신형),모던,sedan,1.478149,2015,11.08,회색,121101.0,580,6.364751
hyundai,올 뉴 아반떼 [CN7],모던,sedan,11.568123,2021,5.67,빨강(주홍),70140.0,1550,7.346655
hyundai,팰리세이드,캘리그래피,suv,94.877345,2022,4.33,흰색,85177.0,2870,7.962416
kia,더 뉴 기아 레이,시그니처,hatchback,53.367876,2023,3.25,흰색,8149.0,1800,7.496097
kia,더 뉴 K8 하이브리드,시그니처,sedan,62.017995,2026,0.33,미색,4654.0,4790,8.474494
kia,디 올 뉴 스포티지 하이브리드,시그니처,suv,47.763348,2022,4.58,회색,44666.0,3230,8.080547
hyundai,더 뉴 그랜저,캘리그래피,sedan,80.141388,2022,4.0,검정,91636.0,2790,7.934155
kia,카니발 4세대,시그니처,van,92.896175,2023,3.17,검정,62172.0,3420,8.137688
kia,셀토스,프레스티지,suv,21.933622,2020,6.42,미색,91969.0,1650,7.409136
hyundai,더 뉴 아반떼 [CN7],모던,sedan,13.174807,2025,1.25,흰색,281.0,2270,7.727976
hyundai,싼타페 더 프라임,프리미엄,suv,60.02886,2021,5.5,검정,120898.0,2050,7.626083
chevrolet,올 뉴 크루즈,LTZ,sedan,19.023136,2017,8.83,흰색,166874.0,610,6.415097
kia,카니발 4세대,노블레스,van,69.398907,2023,3.08,미색,49600.0,3390,8.12888
kgm,베리 뉴 티볼리,V3,suv,18.686869,2022,3.92,"파랑(남색,곤색)",33277.0,1790,7.490529
hyundai,디 올 뉴 싼타페,캘리그래피,suv,85.209235,2024,2.42,흰색,56854.0,3650,8.202756
hyundai,스타리아,스마트,van,78.688525,2022,4.0,흰색,80230.0,2090,7.645398
hyundai,LF쏘나타,모던,sedan,57.647815,2015,11.0,갈색(밤색),140793.0,850,6.746412
kia,올 뉴 모닝 [JA],프레스티지,hatchback,22.797927,2020,6.58,흰색,40372.0,1090,6.99485
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2020,6.08,"파랑(남색,곤색)",35561.0,2500,7.824446
chevrolet,리얼 뉴 콜로라도,Z71-X 미드나잇,truck,64.02439,2022,2.58,검정,25539.0,3480,8.155075
hyundai,올 뉴 투싼,모던,suv,37.950938,2020,6.0,"파랑(남색,곤색)",60069.0,2020,7.611348
kia,K5,노블레스,sedan,27.377892,2020,5.92,쥐색,91250.0,1990,7.596392
hyundai,제네시스,럭셔리,sedan,89.33162,2018,8.08,회색,89329.0,1899,7.549609
kia,카니발 4세대,시그니처,van,92.896175,2022,4.17,회색,114920.0,2850,7.955425
hyundai,올 뉴 아반떼 하이브리드 [CN7],인스퍼레이션,sedan,11.182519,2021,4.92,회색,84250.0,2230,7.710205
chevrolet,올란도,LTZ 프리미엄,van,20.491803,2016,9.67,흰색,110380.0,750,6.621406
kia,더 뉴 모하비,프레지던트,suv,89.75469,2017,8.83,미색,136537.0,1999,7.600902
kia,더 뉴 쏘렌토 4세대 하이브리드,시그니처,suv,69.84127,2025,1.0,회색,22544.0,4440,8.398635
kia,카니발 4세대,시그니처,van,92.896175,2021,4.42,검정색,70448.0,3890,8.266421
kia,디 올 뉴 스포티지,시그니처 그래비티,suv,57.503608,2024,2.42,회색,12147.0,3260,8.089789
kia,카니발 4세대,시그니처,van,92.896175,2021,5.42,검정색,58585.0,3080,8.033009
hyundai,그랜드스타렉스,CVX 프리미엄,van,56.010929,2015,11.75,회색,137742.0,599,6.39693
hyundai,싼타페DM,익스클루시브 스페셜,suv,59.307359,2015,10.83,흰색,105507.0,1240,7.123673
hyundai,그랜저HG,프리미엄,sedan,70.308483,2015,10.83,흰색,147212.0,840,6.734592
