demo_no,detail_url,source_page
0361400618,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400618,2
0361400623,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400623,2
0361400631,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400631,2
0361400634,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400634,2
0361400637,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400637,2
0361400638,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400638,2
0361400639,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400639,2
0361400647,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400647,2
0361400653,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400653,2
0361400660,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400660,2
0361400657,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400657,2
0361400666,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400666,2
0361400667,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400667,2
0361400668,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400668,2
0361400672,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400672,2
0361400673,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400673,2
0361400691,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400691,2
0361400668,https://www.carku.kr/search/car-detail.html?wDemoNo=0361400668,3
0361600259,https://www.carku.kr/search/car-detail.html?wDemoNo=0361600259,3
0361600260,https://www.carku.kr/search/car-detail.html?wDemoNo=0361600260,3
0361600270,https://www.carku.kr/search/car-detail.html?wDemoNo=0361600270,3
0364500157,https://www.carku.kr/search/car-detail.html?wDemoNo=0364500157,3
0364500179,https://www.carku.kr/search/car-detail.html?wDemoNo=0364500179,3
0361000571,https://www.carku.kr/search/car-detail.html?wDemoNo=0361000571,3
0361600212,https://www.carku.kr/search/car-detail.html?wDemoNo=0361600212,3
0361000462,https://www.carku.kr/search/car-detail.html?wDemoNo=0361000462,3
0361000484,https://www.carku.kr/search/car-detail.html?wDemoNo=0361000484,3
0361000486,https://www.carku.kr/search/car-detail.html?wDemoNo=0361000486,3
